JD V-C s1
Aperture: 7, Filter: Clear, JD: geocentric
2458391.4401852 -0.13048 0.00067
2458391.4397917 -0.12961 0.00067
2458391.4393981 -0.13150 0.00067
2458391.4389931 -0.13237 0.00066
2458391.4385995 -0.13273 0.00067
2458391.4382060 -0.13007 0.00067
2458391.4378125 -0.13413 0.00066
2458391.4374190 -0.13228 0.00066
2458391.4370139 -0.13406 0.00066
2458391.4366204 -0.13038 0.00066
2458391.4362269 -0.12938 0.00066
2458391.4358218 -0.13218 0.00067
2458391.4354282 -0.13382 0.00067
2458391.4350347 -0.13151 0.00067
2458391.4346412 -0.13266 0.00067
2458391.4342477 -0.13209 0.00067
2458391.4338426 -0.13187 0.00066
2458391.4334491 -0.13213 0.00067
2458391.4330556 -0.13100 0.00067
2458391.4326620 -0.12991 0.00067
2458391.4322685 -0.13037 0.00067
2458391.4314699 -0.13148 0.00067
2458391.4310764 -0.13152 0.00067
2458391.4306829 -0.12892 0.00067
2458391.4302778 -0.13288 0.00067
2458391.4298843 -0.13099 0.00068
2458391.4294907 -0.13036 0.00068
2458391.4290972 -0.12933 0.00067
2458391.4287037 -0.13159 0.00067
2458391.4282986 -0.13120 0.00067
2458391.4279051 -0.12887 0.00067
2458391.4275116 -0.13043 0.00067
2458391.4271181 -0.13077 0.00067
2458391.4267130 -0.12998 0.00067
2458391.4263194 -0.13107 0.00067
2458391.4259259 -0.13085 0.00067
2458391.4255324 -0.12969 0.00067
2458391.4251273 -0.12943 0.00067
2458391.4247338 -0.13023 0.00067
2458391.4243403 -0.13206 0.00067
2458391.4239468 -0.13200 0.00068
2458391.4183912 -0.13034 0.00068
2458391.4187963 -0.13152 0.00068
2458391.4191898 -0.13027 0.00068
2458391.4195833 -0.13043 0.00068
2458391.4199769 -0.13106 0.00068
2458391.4203819 -0.13165 0.00067
2458391.4207755 -0.13237 0.00067
2458391.4211690 -0.12964 0.00068
2458391.4219676 -0.12788 0.00068
2458391.4223611 -0.13075 0.00068
2458391.4227546 -0.12886 0.00068
2458391.4231481 -0.13270 0.00067
2458391.4235532 -0.13159 0.00067
2458391.4405787 -0.13208 0.00067
2458391.4409838 -0.13018 0.00067
2458391.4413773 -0.13177 0.00067
2458391.4417708 -0.13405 0.00067
2458391.4421644 -0.13117 0.00066
