HelioJD    	T-aveC
2457965.767382	0.466
2457965.768089	0.467
2457965.768796	0.479
2457965.769504	0.480
2457965.770211	0.485
2457965.770919	0.490
2457965.771626	0.486
2457965.772333	0.482
2457965.773041	0.479
2457965.773748	0.489
2457965.774456	0.493
2457965.775163	0.492
2457965.77587	0.505
2457965.776578	0.492
2457965.777285	0.490
2457965.777993	0.494
2457965.7787	0.495
2457965.779408	0.493
2457965.780115	0.484
2457965.780822	0.487
2457965.78153	0.499
2457965.782237	0.492
2457965.782945	0.497
2457965.783652	0.492
2457965.78436	0.489
2457965.785067	0.489
2457965.785774	0.487
2457965.786482	0.490
2457965.787189	0.498
2457965.787897	0.497
2457965.788604	0.495
2457965.789311	0.497
2457965.790019	0.505
2457965.790726	0.498
2457965.791434	0.502
2457965.792141	0.495
2457965.792848	0.494
2457965.793556	0.487
2457965.794263	0.493
2457965.794971	0.499
2457965.795678	0.491
2457965.796386	0.493
2457965.797093	0.494
2457965.7978	0.490
2457965.798508	0.488
2457965.799215	0.499
2457965.799922	0.494
2457965.80063	0.490
2457965.801338	0.496
2457965.802045	0.501
2457965.802752	0.498
2457965.80346	0.503
2457965.804167	0.502
2457965.804875	0.498
2457965.805582	0.505
2457965.806289	0.492
2457965.806997	0.492
2457965.807705	0.501
2457965.808412	0.495
2457965.809119	0.501
2457965.809827	0.501
2457965.810534	0.498
2457965.811242	0.509
2457965.811949	0.501
2457965.812657	0.505
2457965.813364	0.498
2457965.814071	0.500
2457965.814779	0.506
2457965.815486	0.506
2457965.816194	0.503
2457965.816901	0.497
2457965.817609	0.503
2457965.818316	0.496
2457965.819023	0.500
2457965.819731	0.496
2457965.820438	0.501
2457965.821146	0.500
2457965.821853	0.501
2457965.82256	0.498
2457965.823268	0.495
2457965.823975	0.493
2457965.824683	0.499
2457965.82539	0.495
2457965.826097	0.494
2457965.826805	0.498
2457965.827512	0.495
2457965.82822	0.502
2457965.828927	0.500
2457965.829635	0.495
2457965.830342	0.495
2457965.831049	0.496
2457965.831757	0.496
2457965.832464	0.489
2457965.833172	0.502
2457965.833879	0.503
2457965.834586	0.497
2457965.835294	0.499
2457965.836001	0.497
2457965.836709	0.494
2457965.837416	0.491
2457965.838123	0.506
2457965.838831	0.493
2457965.839538	0.491
2457965.840246	0.490
