2457540.43318	0.443	0.0019
2457540.43512	0.440	0.0019
2457540.43609	0.435	0.0019
2457540.43706	0.443	0.0019
2457540.43802	0.436	0.0019
2457540.43899	0.439	0.0019
2457540.43996	0.442	0.0019
2457540.44190	0.439	0.0019
2457540.44287	0.439	0.0019
2457540.44481	0.433	0.0019
2457540.44577	0.439	0.0019
2457540.44674	0.433	0.0019
2457540.44771	0.439	0.0019
2457540.44965	0.437	0.0018
2457540.45062	0.439	0.0019
2457540.45159	0.436	0.0018
2457540.45256	0.440	0.0018
2457540.45352	0.438	0.0018
2457540.45643	0.442	0.0018
2457540.45837	0.442	0.0018
2457540.45934	0.428	0.0018
2457540.46031	0.426	0.0018
2457540.46127	0.436	0.0018
2457540.46612	0.435	0.0018
2457540.46709	0.435	0.0017
2457540.46903	0.434	0.0018
2457540.46999	0.438	0.0018
2457540.47193	0.432	0.0018
2457540.47387	0.448	0.0017
2457540.47484	0.445	0.0017
2457540.47581	0.455	0.0017
2457540.47968	0.463	0.0018
2457540.48065	0.456	0.0018
2457540.48162	0.452	0.0017
2457540.48259	0.453	0.0017
2457540.48356	0.456	0.0017
2457540.48549	0.458	0.0018
2457540.48646	0.458	0.0017
2457540.48743	0.454	0.0017
2457540.48840	0.455	0.0017
2457540.48937	0.458	0.0018
2457540.49034	0.458	0.0017
2457540.49227	0.459	0.0017
2457540.49324	0.460	0.0018
2457540.49421	0.458	0.0017
2457540.49518	0.459	0.0017
2457540.49712	0.458	0.0017
2457540.49809	0.457	0.0017
2457540.50003	0.454	0.0017
2457540.50099	0.455	0.0017
2457540.50293	0.453	0.0017
2457540.50390	0.452	0.0017
2457540.50487	0.457	0.0018
2457540.50681	0.452	0.0018
2457540.50971	0.449	0.0017
2457540.51165	0.449	0.0017
2457540.51262	0.452	0.0017
2457540.51359	0.450	0.0017
2457540.51456	0.455	0.0017
2457540.51650	0.461	0.0017
2457540.51746	0.458	0.0018
2457540.51843	0.460	0.0017
2457540.52037	0.454	0.0017
2457540.52328	0.454	0.0017
2457540.52425	0.451	0.0017
2457540.52522	0.458	0.0017
2457540.52618	0.457	0.0017
2457540.52715	0.461	0.0017
2457540.52812	0.460	0.0017
2457540.53006	0.464	0.0017
2457540.53103	0.462	0.0017
2457540.53200	0.457	0.0017
2457540.53297	0.456	0.0018
2457540.53490	0.457	0.0017
2457540.53684	0.453	0.0018
2457540.53878	0.453	0.0017
2457540.53975	0.457	0.0017
2457540.54072	0.459	0.0018
2457540.54169	0.451	0.0018
2457540.54362	0.451	0.0018
2457540.54459	0.451	0.0017
2457540.54556	0.450	0.0017
2457540.54653	0.439	0.0017
2457540.54750	0.439	0.0017
2457540.54847	0.438	0.0018
2457540.54944	0.438	0.0018
2457540.55040	0.436	0.0018
2457540.55137	0.432	0.0018
2457540.55331	0.427	0.0018
2457540.55428	0.427	0.0018
2457540.55622	0.426	0.0019
2457540.55719	0.421	0.0019
2457540.55815	0.422	0.0020
2457540.55912	0.417	0.0020
2457540.56009	0.418	0.0020
2457540.56106	0.422	0.0020
2457540.56203	0.422	0.0021
2457540.56397	0.416	0.0022

