JD V-C s1
Aperture: 6, Filter: Clear, JD: geocentric
2457608.4274537 0.67450 0.00148
2457608.4256366 0.67560 0.00147
2457608.4238194 0.66887 0.00149
2457608.4220139 0.67303 0.00144
2457608.4201968 0.67157 0.00146
2457608.4185995 0.66864 0.00144
2457608.4292708 0.67860 0.00145
2457608.4310301 0.67585 0.00147
2457608.4328588 0.67000 0.00147
2457608.4347222 0.67480 0.00150
2457608.4365509 0.66773 0.00147
2457608.4383912 0.67623 0.00146
2457608.4402546 0.67273 0.00148
2457608.4420718 0.67048 0.00148
2457608.4439005 0.67899 0.00148
2457608.4457755 0.68148 0.00152
2457608.4476157 0.68795 0.00154
2457608.4494444 0.69142 0.00150
2457608.4512384 99.99999 9.99999
2457608.4531134 99.99999 9.99999
2457608.4549421 0.69703 0.00154
2457608.4567708 0.70108 0.00155
2457608.4585764 0.70297 0.00162
2457608.4604514 0.70119 0.00159
2457608.4623148 0.70589 0.00154
2457608.4641551 0.70883 0.00156
2457608.4659838 0.71434 0.00156
2457608.4678125 0.71031 0.00159
2457608.4696412 0.71537 0.00158
2457608.4714699 0.71483 0.00155
2457608.4733102 0.71467 0.00154
2457608.4751157 0.71629 0.00159
2457608.4769676 0.71482 0.00155
2457608.4788542 0.71567 0.00164
2457608.4807060 0.71784 0.00157
2457608.4825347 0.72055 0.00158
2457608.4843750 0.72278 0.00160
2457608.4861921 0.71943 0.00159
2457608.4879977 0.71719 0.00158
2457608.4898148 0.71587 0.00160
2457608.4916667 0.72029 0.00160
2457608.4934722 0.72252 0.00165
2457608.4952662 0.72246 0.00157
2457608.4970833 0.71934 0.00162
2457608.4988657 0.71956 0.00157
2457608.5006597 0.72625 0.00164
2457608.5024653 0.72634 0.00169
2457608.5042940 0.72454 0.00159
2457608.5060995 0.72059 0.00160
2457608.5079051 0.72104 0.00160
2457608.5097222 0.72521 0.00161
2457608.5115509 0.72438 0.00163
2457608.5152083 0.71869 0.00162
2457608.5169444 0.72408 0.00166
2457608.5187500 0.72245 0.00165
2457608.5205556 0.71564 0.00169
2457608.5223958 0.71768 0.00168
2457608.5242361 0.70867 0.00164
2457608.5259722 0.71127 0.00166
2457608.5277431 99.99999 9.99999
2457608.5295718 0.70338 0.00166
2457608.5314005 0.70152 0.00165
2457608.5332176 0.69489 0.00165
2457608.5350463 0.69321 0.00162
2457608.5368981 0.69391 0.00163
2457608.5387269 0.69559 0.00167
2457608.5405556 0.70257 0.00171
2457608.5423843 0.69041 0.00169
2457608.5442477 0.69982 0.00172
2457608.5460880 0.69997 0.00170
2457608.5478935 0.70414 0.00173
2457608.5515394 0.70072 0.00172
2457608.5533681 0.70001 0.00177
2457608.5551968 0.69957 0.00169
