Helio JD	T-aveC
2456846.900761	-4.726
2456846.901470	-4.717
2456846.902179	-4.714
2456846.902887	-4.711
2456846.903596	-4.715
2456846.904305	-4.728
2456846.905013	-4.712
2456846.905722	-4.720
2456846.906431	-4.706
2456846.907139	-4.724
2456846.907848	-4.721
2456846.908556	-4.721
2456846.909265	-4.728
2456846.909974	-4.713
2456846.910683	-4.713
2456846.911391	-4.718
2456846.912100	-4.727
2456846.912808	-4.725
2456846.913517	-4.724
2456846.914228	-4.712
2456846.914938	-4.723
2456846.915648	-4.709
2456846.916357	-4.711
2456846.917066	-4.716
2456846.917775	-4.709
2456846.918483	-4.723
2456846.919192	-4.716
2456846.919901	-4.724
2456846.920610	-4.731
2456846.921318	-4.714
2456846.922026	-4.706
2456846.922735	-4.712
2456846.923444	-4.716
2456846.924152	-4.716
2456846.924860	-4.717
