Helio JD	T-aveC
2456839.720369	-0.254
2456839.721078	-0.251
2456839.721786	-0.253
2456839.722495	-0.239
2456839.723203	-0.242
2456839.723913	-0.258
2456839.724623	-0.249
2456839.725332	-0.259
2456839.726042	-0.248
2456839.726751	-0.257
2456839.727460	-0.250
2456839.728169	-0.251
2456839.728877	-0.256
2456839.729586	-0.249
2456839.730295	-0.250
2456839.731003	-0.256
2456839.731712	-0.256
2456839.732420	-0.245
2456839.733129	-0.252
2456839.733838	-0.264
2456839.734546	-0.264
2456839.735254	-0.261
2456839.735963	-0.246
2456839.736672	-0.262
2456839.737380	-0.262
2456839.738089	-0.269
2456839.738798	-0.260
2456839.739507	-0.259
2456839.740215	-0.268
2456839.740924	-0.271
2456839.741633	-0.263
2456839.742341	-0.249
2456839.743050	-0.263
2456839.743758	-0.276
2456839.744467	-0.269
2456839.745176	-0.242
2456839.745884	-0.274
2456839.746593	-0.262
2456839.747301	-0.278
2456839.748010	-0.272
2456839.748719	-0.264
2456839.749427	-0.246
2456839.750136	-0.268
2456839.750845	-0.258
2456839.751554	-0.262
2456839.752262	-0.268
2456839.752971	-0.265
2456839.753679	-0.265
2456839.754388	-0.261
2456839.755096	-0.280
2456839.755805	-0.275
2456839.756514	-0.266
2456839.757223	-0.257
2456839.757931	-0.273
2456839.758641	-0.268
2456839.759351	-0.271
2456839.760061	-0.266
2456839.760771	-0.249
2456839.761481	-0.258
2456839.762190	-0.259
2456839.762898	-0.260
2456839.763607	-0.259
2456839.764315	-0.254
2456839.765024	-0.266
2456839.765732	-0.254
2456839.766441	-0.268
2456839.767150	-0.260
2456839.767858	-0.256
2456839.768567	-0.255
2456839.769275	-0.264
2456839.769984	-0.265
2456839.770693	-0.265
2456839.771401	-0.262
2456839.772110	-0.263
2456839.772819	-0.262
2456839.773527	-0.256
2456839.774236	-0.255
2456839.774945	-0.260
2456839.775654	-0.263
2456839.776362	-0.247
2456839.777071	-0.253
2456839.777780	-0.255
2456839.778488	-0.249
2456839.779197	-0.265
2456839.779906	-0.263
2456839.780615	-0.259
2456839.781323	-0.265
2456839.782032	-0.268
2456839.782741	-0.268
2456839.783449	-0.261
2456839.784158	-0.254
2456839.784867	-0.266
2456839.785575	-0.249
2456839.786284	-0.258
2456839.786993	-0.258
2456839.787702	-0.243
2456839.788411	-0.255
2456839.789120	-0.247
2456839.789828	-0.246
2456839.790537	-0.247
2456839.791246	-0.245
2456839.791954	-0.246
2456839.792663	-0.236
2456839.793373	-0.244
2456839.794082	-0.239
2456839.794792	-0.235
2456839.795501	-0.240
2456839.796210	-0.238
2456839.796920	-0.248
2456839.797629	-0.235
2456839.798337	-0.239
2456839.799046	-0.243
2456839.799755	-0.236
2456839.800463	-0.240
2456839.801172	-0.237
2456839.801880	-0.237
2456839.802589	-0.235
2456839.803297	-0.235
2456839.804006	-0.229
2456839.804714	-0.224
2456839.805423	-0.239
2456839.806132	-0.237
2456839.806840	-0.240
2456839.807549	-0.228
2456839.808258	-0.231
2456839.808966	-0.243
2456839.809675	-0.233
2456839.810383	-0.240
2456839.811092	-0.234
2456839.811801	-0.233
2456839.812509	-0.237
2456839.813218	-0.230
2456839.813927	-0.235
2456839.814635	-0.232
2456839.815344	-0.235
2456839.816053	-0.226
2456839.816762	-0.232
2456839.817471	-0.237
2456839.818179	-0.242
2456839.818888	-0.230
2456839.819596	-0.226
2456839.820305	-0.229
2456839.821014	-0.246
2456839.821723	-0.240
2456839.822432	-0.229
2456839.823140	-0.234
2456839.823849	-0.218
2456839.824557	-0.223
2456839.825266	-0.221
2456839.825974	-0.233
2456839.826683	-0.228
2456839.827394	-0.224
2456839.828104	-0.235
2456839.828814	-0.234
2456839.829523	-0.230
2456839.830232	-0.222
2456839.830941	-0.227
2456839.831650	-0.230
2456839.832358	-0.222
2456839.833068	-0.222
2456839.833776	-0.227
2456839.834485	-0.232
2456839.835193	-0.236
2456839.835901	-0.233
2456839.836610	-0.235
2456839.837318	-0.225
2456839.838027	-0.238
2456839.838736	-0.239
2456839.839445	-0.232
2456839.840153	-0.227
2456839.840862	-0.238
2456839.841570	-0.232
2456839.842279	-0.231
2456839.842988	-0.228
2456839.843696	-0.230
2456839.844405	-0.237
2456839.845114	-0.229
2456839.845823	-0.233
2456839.846531	-0.234
2456839.847239	-0.231
2456839.847948	-0.230
2456839.848657	-0.237
2456839.849365	-0.227
2456839.850074	-0.239
2456839.850783	-0.241
2456839.851492	-0.233
2456839.852201	-0.229
2456839.852910	-0.247
2456839.853619	-0.235
2456839.854327	-0.234
2456839.855036	-0.231
2456839.855745	-0.236
2456839.856454	-0.236
2456839.857163	-0.235
2456839.857872	-0.231
2456839.858581	-0.245
2456839.859290	-0.243
2456839.859999	-0.235
2456839.860708	-0.243
2456839.861418	-0.239
2456839.862128	-0.236
2456839.862839	-0.238
2456839.863549	-0.239
2456839.864259	-0.248
2456839.864968	-0.246
2456839.865676	-0.256
2456839.866385	-0.251
2456839.867094	-0.259
2456839.867802	-0.250
2456839.868511	-0.251
2456839.869220	-0.260
2456839.869929	-0.259
2456839.870637	-0.259
2456839.871346	-0.265
2456839.872054	-0.261
2456839.872763	-0.266
2456839.873471	-0.265
2456839.874180	-0.266
2456839.874889	-0.277
2456839.875597	-0.267
2456839.876307	-0.267
2456839.877016	-0.275
2456839.877724	-0.271
2456839.878433	-0.273
2456839.879141	-0.271
2456839.879850	-0.278
2456839.880559	-0.267
2456839.881268	-0.267
2456839.881977	-0.269
2456839.882685	-0.271
2456839.883394	-0.280
2456839.884103	-0.267
2456839.884811	-0.267
2456839.885520	-0.278
2456839.886229	-0.265
2456839.886938	-0.261
2456839.887646	-0.266
2456839.888355	-0.267
2456839.889063	-0.265
2456839.889772	-0.262
2456839.890482	-0.264
2456839.891190	-0.263
2456839.891899	-0.256
2456839.892608	-0.270
2456839.893316	-0.263
2456839.894024	-0.266
2456839.894734	-0.263
2456839.895445	-0.266
2456839.896155	-0.269
2456839.896865	-0.268
2456839.897575	-0.270
2456839.898284	-0.269
2456839.898993	-0.268
2456839.899702	-0.278
2456839.900411	-0.270
2456839.901119	-0.267
2456839.901828	-0.272
2456839.902536	-0.277
2456839.903245	-0.277
2456839.903953	-0.272
2456839.904662	-0.271
2456839.905371	-0.266
2456839.906079	-0.269
2456839.906791	-0.264
2456839.907499	-0.266
2456839.908209	-0.270
2456839.908917	-0.269
2456839.909626	-0.260
2456839.910335	-0.268
2456839.911044	-0.267
2456839.911752	-0.270
2456839.912461	-0.270
2456839.913170	-0.262
2456839.913878	-0.261
2456839.914586	-0.268
2456839.915294	-0.266
2456839.916004	-0.258
2456839.916712	-0.260
2456839.917420	-0.266
