JD V-C s1 AIRMASS ALTITUDE
Aperture: 6, Filter: IR-UV, JD: geocentric
2458755.2671759 -0.13183 0.00135 1.1686 58.78
2458755.2686574 -0.13208 0.00126 1.1660 58.99
2458755.2701505 -0.13013 0.00119 1.1635 59.20
2458755.2716319 -0.13127 0.00112 1.1611 59.40
2458755.2731481 -0.13376 0.00107 1.1587 59.60
2458755.2746065 -0.13199 0.00106 1.1565 59.79
2458755.2760648 -0.13108 0.00103 1.1544 59.97
2458755.2775116 -0.12776 0.00101 1.1524 60.15
2458755.2790278 -0.13162 0.00100 1.1503 60.32
2458755.2805556 -0.13099 0.00101 1.1484 60.50
2458755.2820486 -0.13007 0.00100 1.1466 60.66
2458755.2834954 -0.13374 0.00100 1.1449 60.81
2458755.2850116 -0.13273 0.00098 1.1432 60.96
2458755.2864699 -0.13005 0.00099 1.1416 61.10
2458755.2879630 -0.13071 0.00099 1.1401 61.24
2458755.2894560 -0.12750 0.00099 1.1387 61.37
2458755.2909491 -0.12309 0.00099 1.1373 61.50
2458755.2924421 -0.12233 0.00099 1.1361 61.61
2458755.2938889 -0.12040 0.00098 1.1349 61.72
2458755.2953819 -0.11988 0.00099 1.1338 61.83
2458755.2969097 -0.11824 0.00099 1.1328 61.93
2458755.2983565 -0.11706 0.00099 1.1319 62.01
2458755.2998148 -0.11470 0.00099 1.1310 62.10
2458755.3013079 -0.11406 0.00100 1.1302 62.17
2458755.3028241 99.99999 9.99999 1.1295 62.24
2458755.3043171 -0.11319 0.00098 1.1289 62.30
2458755.3057639 -0.11677 0.00098 1.1283 62.36
2458755.3072569 -0.11696 0.00098 1.1278 62.40
2458755.3087153 -0.11300 0.00098 1.1274 62.44
2458755.3102315 -0.11424 0.00099 1.1271 62.47
2458755.3116898 -0.11429 0.00097 1.1269 62.50
2458755.3131713 -0.11749 0.00098 1.1267 62.52
2458755.3146991 -0.11495 0.00099 1.1266 62.53
2458755.3161921 -0.11645 0.00099 1.1266 62.53
2458755.3176736 99.99999 9.99999 1.1266 62.52
2458755.3191319 -0.11415 0.00098 1.1267 62.51
2458755.3206134 -0.11378 0.00098 1.1269 62.49
2458755.3221065 -0.11279 0.00098 1.1272 62.46
2458755.3235995 -0.11249 0.00098 1.1276 62.43
2458755.3250463 -0.11452 0.00098 1.1280 62.39
2458755.3265625 -0.11386 0.00098 1.1285 62.34
2458755.3280208 -0.11457 0.00098 1.1291 62.28
2458755.3295139 -0.11186 0.00098 1.1298 62.22
2458755.3309606 99.99999 9.99999 1.1305 62.15
2458755.3324421 -0.11423 0.00099 1.1313 62.07
2458755.3339236 -0.11063 0.00099 1.1322 61.98
2458755.3354167 -0.11331 0.00099 1.1332 61.89
2458755.3369097 -0.11561 0.00098 1.1342 61.79
2458755.3383912 -0.11286 0.00098 1.1353 61.68
2458755.3398380 -0.11262 0.00098 1.1365 61.57
2458755.3412963 -0.11497 0.00099 1.1378 61.46
2458755.3427546 -0.11280 0.00099 1.1391 61.33
2458755.3442361 -0.11348 0.00099 1.1405 61.20
2458755.3457292 -0.11527 0.00099 1.1421 61.06
2458755.3471759 -0.11262 0.00098 1.1436 60.92
2458755.3486343 -0.11538 0.00099 1.1453 60.77
2458755.3501505 -0.11222 0.00098 1.1471 60.61
2458755.3516435 -0.11463 0.00098 1.1489 60.45
2458755.3531366 -0.11419 0.00098 1.1509 60.28
2458755.3545833 -0.11944 0.00098 1.1528 60.11
2458755.3560648 -0.12206 0.00097 1.1549 59.93
2458755.3575463 -0.11962 0.00098 1.1571 59.74
2458755.3590394 -0.11954 0.00098 1.1594 59.55
2458755.3604861 -0.11487 0.00098 1.1617 59.35
2458755.3620139 -0.11873 0.00099 1.1642 59.14
2458755.3634606 -0.11951 0.00098 1.1667 58.94
2458755.3649190 -0.11975 0.00098 1.1692 58.73
2458755.3664120 -0.12127 0.00099 1.1719 58.51
2458755.3679051 -0.12255 0.00099 1.1748 58.29
2458755.3693981 -0.12202 0.00098 1.1777 58.06
2458755.3708449 -0.12653 0.00100 1.1806 57.83
2458755.3723032 -0.12760 0.00099 1.1836 57.60
2458755.3738194 -0.13033 0.00098 1.1868 57.36
2458755.3752778 -0.13259 0.00099 1.1900 57.12
2458755.3767708 -0.12937 0.00100 1.1934 56.86
2458755.3782523 -0.12862 0.00099 1.1969 56.61
2458755.3797338 -0.13174 0.00100 1.2004 56.35
2458755.3812269 -0.13260 0.00098 1.2041 56.09
2458755.3827199 -0.13164 0.00098 1.2079 55.82
2458755.3841782 -0.13023 0.00099 1.2117 55.56
2458755.3856366 -0.13365 0.00098 1.2156 55.29
2458755.3871065 -0.13187 0.00098 1.2196 55.02
2458755.3885648 -0.13432 0.00099 1.2237 54.74
2458755.3900231 -0.13462 0.00098 1.2279 54.46
