JD V-C s1
Aperture: 7, Filter: LNIR, JD: geocentric
2458026.4484606 -0.13582 0.00102
2458026.4470139 -0.13389 0.00100
2458026.4455787 -0.13390 0.00100
2458026.4412384 -0.13424 0.00100
2458026.4397917 -0.13271 0.00100
2458026.4383449 -0.13311 0.00102
2458026.4368981 -0.13290 0.00102
2458026.4354514 -0.12996 0.00103
2458026.4325694 -0.13168 0.00122
2458026.4311227 -0.13437 0.00115
2458026.4296759 -0.13220 0.00114
2458026.4282292 -0.12923 0.00100
2458026.4267824 -0.12697 0.00100
2458026.4253472 -0.12618 0.00098
2458026.4239005 99.99999 9.99999
2458026.4224537 -0.12377 0.00099
2458026.4210069 -0.12068 0.00101
2458026.4195602 -0.12218 0.00101
2458026.4181134 -0.12100 0.00101
2458026.4166667 -0.11837 0.00102
2458026.4152315 -0.12155 0.00101
2458026.4137847 -0.11951 0.00098
2458026.4123380 -0.11898 0.00100
2458026.4108912 -0.11867 0.00101
2458026.4094444 -0.11984 0.00098
2458026.4079977 -0.11904 0.00101
2458026.4065509 -0.11607 0.00104
2458026.4051042 -0.11968 0.00102
2458026.4036574 -0.11641 0.00102
2458026.4022106 99.99999 9.99999
2458026.4007639 -0.11533 0.00101
2458026.3993171 -0.11818 0.00102
2458026.3978704 -0.11568 0.00100
2458026.3964236 -0.11963 0.00099
2458026.3949884 -0.11917 0.00101
2458026.3935417 -0.11894 0.00102
2458026.3920949 -0.11559 0.00101
2458026.3906481 -0.11861 0.00102
2458026.3892014 -0.11732 0.00107
2458026.3877546 -0.11933 0.00108
2458026.3863194 -0.11639 0.00120
2458026.3848727 -0.11477 0.00110
2458026.3834259 -0.11873 0.00105
2458026.3819792 -0.11798 0.00104
2458026.3805324 -0.11891 0.00104
2458026.3790856 -0.11861 0.00104
2458026.3776389 -0.11718 0.00105
2458026.3762037 -0.11934 0.00103
2458026.3747569 -0.11842 0.00105
2458026.3733102 -0.12061 0.00104
2458026.3718634 -0.12080 0.00105
2458026.3704167 -0.11937 0.00104
2458026.3689699 -0.12007 0.00104
2458026.3675231 -0.11938 0.00103
2458026.3660764 -0.11895 0.00104
2458026.3646296 -0.11817 0.00103
2458026.3631829 -0.12047 0.00105
2458026.3617477 -0.11939 0.00103
2458026.3603009 -0.12059 0.00102
2458026.3588542 -0.12044 0.00102
2458026.3574074 -0.12018 0.00102
2458026.3559606 -0.12151 0.00103
2458026.3545139 -0.12236 0.00101
2458026.3530671 -0.12097 0.00104
2458026.3516204 -0.12267 0.00103
2458026.3501736 -0.12381 0.00103
2458026.3487269 -0.12839 0.00104
2458026.3472801 -0.12905 0.00102
2458026.3458449 -0.13041 0.00100
2458026.3443981 -0.13324 0.00100
2458026.3429514 -0.13361 0.00100
2458026.3415046 -0.13564 0.00100
2458026.3400579 -0.13586 0.00101
2458026.3386111 -0.13677 0.00100
2458026.3371644 -0.13552 0.00101
2458026.3357176 -0.13413 0.00101
2458026.3342824 -0.13557 0.00103
2458026.3328356 -0.13357 0.00103
2458026.3313889 -0.13724 0.00101
2458026.3299421 -0.13520 0.00099
2458026.3284954 -0.13640 0.00102
2458026.3270486 -0.13669 0.00103
2458026.3256019 -0.13334 0.00104
2458026.3241667 -0.13408 0.00102
2458026.3227083 -0.13284 0.00101
2458026.3212616 -0.13287 0.00101
2458026.3198148 -0.13356 0.00102
2458026.3183681 -0.13462 0.00101
2458026.3169213 -0.13376 0.00099
2458026.3154745 -0.13416 0.00100
2458026.3140394 -0.13247 0.00101
2458026.3125926 -0.13230 0.00099
2458026.3111458 -0.13421 0.00099
2458026.3096991 -0.13321 0.00116
2458026.3082523 -0.13476 0.00128
2458026.3068056 -0.13358 0.00103
2458026.4499074 -0.13421 0.00103
2458026.4513542 -0.13437 0.00102
2458026.4528009 99.99999 9.99999
2458026.4542477 -0.13309 0.00102
2458026.4556944 99.99999 9.99999
2458026.4571412 99.99999 9.99999
2458026.4585880 -0.13332 0.00102
2458026.4600347 -0.13491 0.00099
