JD V-C s1 V-K1 s2 C1-K1 s3 C2-K1 s4 C3-K1 s5 C4-K1 s6 C5-K1 s7 C6-K1 s8
Aperture: 7, Filter: Aucun, JD: geocentric
2457660.3981683 -1.41553 0.00173 -1.67868 0.00397 -0.18409 0.00475 -0.58279 0.00441 -0.27499 0.00467 0.13610 0.00524 0.01431 0.00516 -0.50560 0.00447
2457660.4000902 -1.41553 0.00168 -1.68116 0.00379 -0.18602 0.00458 -0.58970 0.00422 -0.27732 0.00446 0.13985 0.00495 0.01048 0.00498 -0.50641 0.00427
2457660.4019193 -1.41640 0.00166 -1.68123 0.00369 -0.19024 0.00446 -0.58650 0.00413 -0.27403 0.00438 0.13180 0.00482 0.02039 0.00484 -0.50720 0.00419
2457660.4036296 -1.41399 0.00163 -1.67819 0.00371 -0.18514 0.00441 -0.58764 0.00412 -0.27203 0.00438 0.13359 0.00486 0.01783 0.00481 -0.50778 0.00416
2457660.4054043 -1.41401 0.00160 -1.67676 0.00354 -0.18069 0.00428 -0.59094 0.00394 -0.27052 0.00419 0.14080 0.00463 0.01702 0.00465 -0.50525 0.00400
2457660.4071446 -1.41299 0.00158 -1.67249 0.00351 -0.18090 0.00422 -0.57586 0.00392 -0.27527 0.00414 0.14624 0.00458 0.01965 0.00458 -0.50654 0.00398
2457660.4089339 -1.41383 0.00160 -1.67787 0.00369 -0.18194 0.00439 -0.58626 0.00408 -0.26945 0.00431 0.13207 0.00474 0.00924 0.00474 -0.50676 0.00412
2457660.4106456 -1.41701 0.00159 -1.68138 0.00359 -0.18703 0.00431 -0.58778 0.00400 -0.27104 0.00423 0.13954 0.00466 0.00965 0.00466 -0.50602 0.00403
2457660.4123852 -1.41871 0.00160 -1.67955 0.00366 -0.18343 0.00435 -0.58210 0.00408 -0.27067 0.00429 0.13859 0.00473 0.01829 0.00473 -0.50306 0.00411
2457660.4141560 -1.41530 0.00159 -1.68036 0.00366 -0.18670 0.00436 -0.58925 0.00406 -0.27432 0.00428 0.13863 0.00473 0.01311 0.00478 -0.50702 0.00411
2457660.4159051 -1.41698 0.00158 -1.67957 0.00352 -0.18294 0.00423 -0.58024 0.00393 -0.27061 0.00416 0.13948 0.00459 0.01134 0.00459 -0.51002 0.00398
2457660.4176907 -1.41595 0.00158 -1.67079 0.00350 -0.17298 0.00422 -0.57923 0.00391 -0.26639 0.00412 0.14832 0.00458 0.02278 0.00460 -0.49670 0.00395
2457660.4194650 -1.41552 0.00157 -1.67419 0.00359 -0.18198 0.00428 -0.57854 0.00399 -0.26839 0.00420 0.14164 0.00465 0.01729 0.00464 -0.50042 0.00403
2457660.4211269 -1.41266 0.00157 -1.67244 0.00347 -0.17437 0.00417 -0.58792 0.00388 -0.26712 0.00410 0.14019 0.00454 0.01981 0.00453 -0.50307 0.00390
2457660.4229097 -1.41626 0.00157 -1.67485 0.00352 -0.18119 0.00421 -0.57948 0.00393 -0.26463 0.00415 0.14438 0.00460 0.01462 0.00456 -0.50253 0.00398
2457660.4246847 -1.41561 0.00157 -1.67816 0.00360 -0.18185 0.00429 -0.57940 0.00399 -0.27424 0.00420 0.13950 0.00464 0.01372 0.00465 -0.51008 0.00403
2457660.4264116 -1.41276 0.00157 -1.67844 0.00352 -0.18176 0.00423 -0.58673 0.00393 -0.27385 0.00414 0.13599 0.00456 0.00738 0.00453 -0.51173 0.00396
2457660.4281333 -1.41840 0.00156 -1.67765 0.00350 -0.17909 0.00421 -0.58160 0.00391 -0.26902 0.00412 0.14501 0.00457 0.02123 0.00456 -0.50582 0.00395
2457660.4298170 -1.41242 0.00156 -1.67285 0.00348 -0.18027 0.00419 -0.58307 0.00388 -0.26703 0.00411 0.13717 0.00455 0.01985 0.00452 -0.50549 0.00392
2457660.4315464 -1.41241 0.00156 -1.67753 0.00352 -0.18455 0.00421 -0.58441 0.00391 -0.27598 0.00413 0.13238 0.00454 0.00982 0.00458 -0.50729 0.00396
2457660.4334242 -1.41511 0.00156 -1.67825 0.00357 -0.18788 0.00424 -0.58278 0.00396 -0.27467 0.00417 0.13932 0.00461 0.01666 0.00458 -0.50619 0.00400
2457660.4352549 -1.41866 0.00156 -1.69071 0.00352 -0.19107 0.00420 -0.59391 0.00393 -0.28389 0.00413 0.13209 0.00456 0.00276 0.00457 -0.51456 0.00396
2457660.4369347 -1.41649 0.00156 -1.67438 0.00352 -0.17390 0.00423 -0.57801 0.00391 -0.26837 0.00414 0.14480 0.00458 0.01712 0.00454 -0.50490 0.00395
2457660.4387139 -1.41693 0.00156 -1.68511 0.00352 -0.18612 0.00420 -0.58493 0.00391 -0.28361 0.00412 0.13333 0.00456 0.01319 0.00453 -0.51665 0.00395
2457660.4404925 -1.41314 0.00156 -1.67850 0.00351 -0.18674 0.00420 -0.58806 0.00390 -0.27537 0.00411 0.14115 0.00458 0.01156 0.00453 -0.50931 0.00395
2457660.4423155 -1.41531 0.00156 -1.68517 0.00355 -0.19027 0.00423 -0.59100 0.00396 -0.27927 0.00415 0.13526 0.00460 0.00735 0.00457 -0.51606 0.00399
2457660.4440505 -1.41269 0.00156 -1.68517 0.00351 -0.19117 0.00421 -0.59553 0.00392 -0.28131 0.00412 0.12535 0.00458 0.00564 0.00455 -0.51492 0.00395
2457660.4459361 -1.40677 0.00157 -1.67184 0.00350 -0.18515 0.00420 -0.58498 0.00391 -0.27074 0.00411 0.13312 0.00454 0.00922 0.00452 -0.51022 0.00393
2457660.4478252 -1.40402 0.00157 -1.66611 0.00347 -0.18111 0.00416 -0.58591 0.00387 -0.27305 0.00408 0.13945 0.00449 0.02351 0.00455 -0.50843 0.00391
2457660.4534237 -1.39737 0.00156 -1.66475 0.00356 -0.18357 0.00422 -0.58607 0.00395 -0.27864 0.00416 0.13688 0.00460 0.01005 0.00455 -0.51747 0.00397
2457660.4551780 -1.39443 0.00156 -1.65639 0.00347 -0.18238 0.00415 -0.58322 0.00386 -0.27387 0.00408 0.14301 0.00451 0.01745 0.00448 -0.50730 0.00390
2457660.4569870 -1.39335 0.00156 -1.65334 0.00347 -0.17990 0.00416 -0.58501 0.00386 -0.27347 0.00407 0.14776 0.00453 0.01815 0.00451 -0.50111 0.00390
2457660.4592802 -1.39471 0.00157 -1.65578 0.00358 -0.18145 0.00427 -0.58370 0.00398 -0.27039 0.00418 0.14507 0.00462 0.01353 0.00459 -0.50472 0.00401
2457660.4611215 -1.39149 0.00158 -1.65830 0.00362 -0.18788 0.00431 -0.58929 0.00401 -0.27508 0.00421 0.13872 0.00467 0.00827 0.00464 -0.51090 0.00404
2457660.4629579 -1.39309 0.00161 -1.65799 0.00364 -0.18386 0.00435 -0.58416 0.00404 -0.27745 0.00426 0.13605 0.00471 0.00945 0.00469 -0.50763 0.00408
2457660.4648291 -1.39095 0.00161 -1.65882 0.00360 -0.19333 0.00430 -0.58870 0.00401 -0.27588 0.00423 0.13781 0.00468 0.01063 0.00464 -0.51293 0.00404
2457660.4669102 -1.39180 0.00158 -1.65994 0.00361 -0.18652 0.00429 -0.58994 0.00399 -0.28023 0.00421 0.13983 0.00465 0.00325 0.00460 -0.51094 0.00403
2457660.4691354 -1.39411 0.00159 -1.65858 0.00363 -0.18717 0.00431 -0.58635 0.00403 -0.27200 0.00424 0.14537 0.00470 0.01031 0.00464 -0.51083 0.00406
2457660.4711106 -1.39158 0.00160 -1.65613 0.00361 -0.18367 0.00432 -0.58670 0.00401 -0.27617 0.00423 0.14151 0.00468 0.01062 0.00465 -0.50816 0.00406
2457660.4732672 -1.38726 0.00157 -1.65451 0.00356 -0.18744 0.00424 -0.58575 0.00395 -0.27931 0.00416 0.13620 0.00458 0.01118 0.00459 -0.51416 0.00399
2457660.4754780 -1.38817 0.00157 -1.65544 0.00358 -0.18872 0.00424 -0.58644 0.00397 -0.28120 0.00418 0.13579 0.00460 0.01033 0.00461 -0.51031 0.00401
2457660.4776763 -1.38845 0.00157 -1.65063 0.00356 -0.17761 0.00425 -0.58168 0.00395 -0.27724 0.00415 0.13973 0.00460 0.01337 0.00458 -0.50649 0.00398
2457660.4798667 -1.39135 0.00156 -1.65861 0.00348 -0.18779 0.00417 -0.58540 0.00387 -0.27830 0.00408 0.13104 0.00452 0.00712 0.00452 -0.50980 0.00391
2457660.4821182 -1.38704 0.00157 -1.65343 0.00364 -0.18569 0.00432 -0.58586 0.00402 -0.27476 0.00423 0.13455 0.00465 0.00492 0.00464 -0.51012 0.00406
2457660.4843073 -1.39183 0.00157 -1.65606 0.00357 -0.19688 0.00423 -0.58118 0.00397 -0.27319 0.00418 0.14731 0.00460 0.01110 0.00456 -0.50856 0.00400
2457660.4866238 -1.38755 0.00157 -1.64928 0.00357 -0.17984 0.00424 -0.58469 0.00397 -0.27103 0.00417 0.14729 0.00462 0.00920 0.00458 -0.50603 0.00401
2457660.4886531 -1.39105 0.00158 -1.65637 0.00364 -0.18905 0.00430 -0.58702 0.00402 -0.27211 0.00423 0.14188 0.00465 0.01356 0.00470 -0.51273 0.00405
2457660.4909919 -1.39012 0.00158 -1.65766 0.00363 -0.18688 0.00430 -0.58351 0.00403 -0.28145 0.00423 0.14385 0.00464 0.00158 0.00463 -0.51490 0.00405
2457660.4931097 -1.39140 0.00159 -1.65203 0.00361 -0.18631 0.00428 -0.58278 0.00400 -0.27112 0.00422 0.14724 0.00464 0.01479 0.00461 -0.50140 0.00405
2457660.4953969 -1.38708 0.00165 -1.64940 0.00379 -0.18203 0.00452 -0.57799 0.00420 -0.27307 0.00442 0.14852 0.00487 0.00553 0.00482 -0.51117 0.00423
2457660.4978981 -1.38797 0.00165 -1.65567 0.00377 -0.19446 0.00449 -0.58704 0.00418 -0.27694 0.00440 0.13934 0.00488 0.00597 0.00484 -0.51014 0.00423
2457660.4998069 -1.38916 0.00158 -1.65839 0.00367 -0.19534 0.00434 -0.58915 0.00407 -0.28025 0.00427 0.13815 0.00471 0.00974 0.00471 -0.51353 0.00410
2457660.5016818 -1.38830 0.00158 -1.65459 0.00364 -0.18676 0.00431 -0.58673 0.00402 -0.27944 0.00423 0.14029 0.00466 0.00867 0.00464 -0.50960 0.00405
2457660.5039170 -1.38741 0.00158 -1.64934 0.00362 -0.17706 0.00430 -0.57933 0.00402 -0.27588 0.00422 0.14270 0.00466 0.00857 0.00466 -0.50795 0.00404
2457660.5061068 99.99999 9.99999 -1.65855 0.00365 -0.18018 0.00434 -0.58246 0.00405 -0.27603 0.00425 99.99999 9.99999 99.99999 9.99999 -0.50830 0.00407
2457660.5082042 -1.39020 0.00159 -1.65036 0.00363 -0.18315 0.00431 -0.57787 0.00402 -0.26976 0.00423 0.13792 0.00467 0.01193 0.00463 -0.50096 0.00406
2457660.5103734 -1.38972 0.00159 -1.64634 0.00355 -0.17478 0.00424 -0.57708 0.00396 -0.26900 0.00418 0.14667 0.00463 0.02062 0.00457 -0.50185 0.00400
2457660.5127206 -1.38799 0.00160 -1.65173 0.00367 -0.18183 0.00435 -0.58393 0.00407 -0.27601 0.00427 0.13637 0.00472 0.01083 0.00471 -0.50599 0.00411
2457660.5147880 -1.39065 0.00161 -1.65471 0.00359 -0.18344 0.00428 -0.58118 0.00400 -0.27776 0.00421 0.13562 0.00466 0.01166 0.00464 -0.50800 0.00402
2457660.5167492 -1.38949 0.00159 -1.65366 0.00352 -0.18204 0.00422 -0.58497 0.00392 -0.28068 0.00413 0.13661 0.00458 0.01729 0.00458 -0.50713 0.00396
2457660.5189499 -1.38768 0.00156 -1.65113 0.00346 -0.18293 0.00414 -0.58214 0.00386 -0.27417 0.00407 0.13710 0.00451 0.01037 0.00450 -0.50735 0.00390
2457660.5211720 -1.39062 0.00157 -1.65257 0.00349 -0.17773 0.00420 -0.58726 0.00388 -0.27299 0.00410 0.13757 0.00451 0.01709 0.00452 -0.50385 0.00391
2457660.5233988 -1.38677 0.00157 -1.65240 0.00348 -0.19134 0.00416 -0.58350 0.00388 -0.28030 0.00408 0.13957 0.00454 0.01748 0.00453 -0.51085 0.00392
2457660.5255441 -1.38574 0.00156 -1.65320 0.00348 -0.18718 0.00415 -0.58756 0.00387 -0.28333 0.00409 0.13293 0.00451 0.01611 0.00451 -0.51144 0.00391
2457660.5281631 -1.38668 0.00156 -1.65015 0.00351 -0.18370 0.00420 -0.58060 0.00391 -0.28149 0.00410 0.13541 0.00452 0.01690 0.00451 -0.50571 0.00396
2457660.5303946 -1.38778 0.00156 -1.65006 0.00347 -0.17943 0.00415 -0.58472 0.00386 -0.27608 0.00407 0.13372 0.00449 0.02118 0.00449 -0.50479 0.00390
2457660.5325683 -1.38472 0.00156 -1.65140 0.00353 -0.18548 0.00419 -0.58813 0.00392 -0.28193 0.00412 0.13710 0.00455 0.01491 0.00458 -0.51104 0.00396
2457660.5348949 -1.39048 0.00157 -1.65953 0.00353 -0.18862 0.00420 -0.59027 0.00392 -0.28711 0.00413 0.13665 0.00458 0.01393 0.00455 -0.51269 0.00395
2457660.5373240 -1.39009 0.00158 -1.65147 0.00352 -0.18141 0.00422 -0.58205 0.00393 -0.27609 0.00413 0.14143 0.00458 0.01558 0.00456 -0.50269 0.00395
2457660.5394813 -1.39045 0.00159 -1.66250 0.00360 -0.19306 0.00430 -0.58893 0.00399 -0.28638 0.00420 0.12576 0.00463 0.00749 0.00462 -0.51588 0.00404
2457660.5414127 -1.39155 0.00159 -1.66032 0.00361 -0.19001 0.00430 -0.59133 0.00400 -0.28228 0.00422 0.13553 0.00465 0.01595 0.00463 -0.51373 0.00404
2457660.5435829 -1.39260 0.00158 -1.65692 0.00351 -0.18847 0.00420 -0.58653 0.00391 -0.27407 0.00413 0.13738 0.00458 0.01623 0.00456 -0.50651 0.00396
2457660.5457312 -1.39102 0.00158 -1.65615 0.00359 -0.18695 0.00427 -0.58282 0.00398 -0.27796 0.00420 0.13263 0.00463 0.01085 0.00464 -0.50641 0.00403
2457660.5477367 -1.39009 0.00160 -1.65592 0.00354 -0.18657 0.00427 -0.58648 0.00395 -0.27932 0.00416 0.14372 0.00464 0.01113 0.00460 -0.51134 0.00399
2457660.5496972 -1.39500 0.00161 -1.66221 0.00366 -0.19000 0.00436 -0.58350 0.00406 -0.28570 0.00426 0.13247 0.00471 0.01253 0.00471 -0.50808 0.00410
2457660.5519032 -1.39365 0.00165 -1.66354 0.00373 -0.19220 0.00447 -0.58818 0.00414 -0.28350 0.00437 0.13529 0.00485 0.00875 0.00482 -0.51530 0.00420
