JD V-C s1 AIRMASS ALTITUDE
Aperture: 7, Filter: Green, JD: geocentric
2458735.5993403 -0.04582 0.00087 1.0013 87.06
2458735.6007986 -0.04597 0.00087 1.0011 87.25
2458735.6022454 -0.04600 0.00087 1.0010 87.41
2458735.6037384 -0.04405 0.00088 1.0009 87.52
2458735.6066782 -0.04737 0.00089 1.0009 87.58
2458735.6081366 -0.04292 0.00087 1.0009 87.52
2458735.6095949 -0.04635 0.00087 1.0010 87.42
2458735.6110417 -0.04369 0.00087 1.0011 87.27
2458735.6125347 -0.04270 0.00088 1.0013 87.07
2458735.6139931 -0.04147 0.00087 1.0015 86.84
2458735.6154398 -0.04270 0.00088 1.0017 86.60
2458735.6168981 -0.04534 0.00088 1.0020 86.33
2458735.6183912 -0.04306 0.00087 1.0024 86.04
2458735.6198380 -0.04463 0.00088 1.0027 85.74
2458735.6212963 -0.04322 0.00088 1.0031 85.43
2458735.6227431 -0.04481 0.00089 1.0036 85.12
2458735.6242014 -0.04561 0.00087 1.0041 84.79
2458735.6256944 -0.04371 0.00086 1.0046 84.45
2458735.6271875 -0.04226 0.00088 1.0052 84.11
2458735.6286690 -0.04342 0.00088 1.0059 83.77
2458735.6301273 -0.04406 0.00089 1.0065 83.43
2458735.6316204 -0.04455 0.00087 1.0073 83.07
2458735.6330671 -0.04439 0.00087 1.0080 82.73
2458735.6345255 -0.04172 0.00087 1.0088 82.38
2458735.6359838 -0.04328 0.00087 1.0097 82.03
2458735.6374306 -0.04301 0.00086 1.0105 81.68
2458735.6389236 -0.04516 0.00087 1.0115 81.32
2458735.6404167 -0.04553 0.00087 1.0125 80.96
2458735.6418750 -0.04462 0.00087 1.0135 80.60
