JD V-C s1 AIRMASS ALTITUDE
Aperture: 9, Filter: Green, JD: geocentric
2458821.4080324 0.34813 0.00113 1.0136 80.57
2458821.4095718 0.34788 0.00113 1.0147 80.20
2458821.4110880 0.34367 0.00113 1.0158 79.83
2458821.4126157 0.34493 0.00114 1.0170 79.46
2458821.4141319 0.34840 0.00113 1.0183 79.09
2458821.4156481 0.34723 0.00112 1.0196 78.71
2458821.4171644 0.34496 0.00112 1.0209 78.34
2458821.4186921 0.34989 0.00111 1.0223 77.97
2458821.4202662 0.34637 0.00111 1.0238 77.58
2458821.4217940 0.34590 0.00110 1.0253 77.21
2458821.4233449 0.34843 0.00112 1.0269 76.82
2458821.4248727 0.34715 0.00112 1.0285 76.45
2458821.4264352 0.34663 0.00112 1.0301 76.06
2458821.4279977 0.34537 0.00111 1.0319 75.68
2458821.4295139 0.34203 0.00111 1.0336 75.30
2458821.4310301 0.34749 0.00112 1.0354 74.93
2458821.4325926 0.34955 0.00111 1.0373 74.54
2458821.4341319 0.35101 0.00110 1.0392 74.16
2458821.4356481 0.34712 0.00111 1.0412 73.79
2458821.4371644 0.34532 0.00110 1.0432 73.42
2458821.4386921 0.34688 0.00111 1.0452 73.04
2458821.4402546 0.34982 0.00109 1.0474 72.65
2458821.4417708 0.35048 0.00111 1.0496 72.28
2458821.4433102 0.34471 0.00110 1.0518 71.90
2458821.4448380 0.34733 0.00111 1.0541 71.52
2458821.4463542 0.35251 0.00111 1.0564 71.15
2458821.4478704 0.35258 0.00113 1.0588 70.77
2458821.4494329 0.35451 0.00111 1.0613 70.39
2458821.4509491 0.35169 0.00109 1.0638 70.01
2458821.4524884 0.35339 0.00110 1.0664 69.63
2458821.4540046 0.35782 0.00111 1.0690 69.26
2458821.4555671 0.36116 0.00109 1.0717 68.88
2458821.4570833 0.36465 0.00111 1.0744 68.50
2458821.4585995 0.36907 0.00111 1.0772 68.13
2458821.4601389 0.37033 0.00111 1.0801 67.75
2458821.4616782 0.37274 0.00112 1.0830 67.37
2458821.4632060 0.37517 0.00112 1.0860 67.00
2458821.4647454 0.37556 0.00114 1.0891 66.62
2458821.4662963 0.37501 0.00113 1.0922 66.24
2458821.4678125 0.37739 0.00111 1.0954 65.86
2458821.4693403 0.37498 0.00112 1.0986 65.49
2458821.4708565 0.37963 0.00114 1.1019 65.12
2458821.4723843 0.37724 0.00115 1.1052 64.74
2458821.4739005 0.37877 0.00113 1.1086 64.37
2458821.4754630 0.37917 0.00113 1.1122 63.99
2458821.4770255 0.37807 0.00113 1.1158 63.61
2458821.4785880 0.37648 0.00114 1.1196 63.23
2458821.4801157 0.37937 0.00114 1.1233 62.85
2458821.4816319 0.37878 0.00114 1.1270 62.48
2458821.4831481 0.38009 0.00115 1.1308 62.11
2458821.4846759 0.38278 0.00111 1.1347 61.74
2458821.4861921 0.38123 0.00115 1.1387 61.37
2458821.4877083 0.38053 0.00112 1.1427 61.01
2458821.4892245 0.37817 0.00115 1.1468 60.64
2458821.4907523 0.37577 0.00112 1.1510 60.27
2458821.4922801 0.37622 0.00112 1.1553 59.90
2458821.4938310 0.38194 0.00111 1.1597 59.52
2458821.4953472 0.37930 0.00111 1.1641 59.15
2458821.4969097 0.37849 0.00115 1.1687 58.78
2458821.4984259 0.38141 0.00112 1.1732 58.41
2458821.4999421 0.37896 0.00113 1.1779 58.04
2458821.5014583 0.37747 0.00113 1.1826 57.68
2458821.5030093 0.38167 0.00113 1.1875 57.31
2458821.5045602 0.37658 0.00113 1.1925 56.93
2458821.5061111 0.37962 0.00113 1.1975 56.56
2458821.5076273 0.37732 0.00115 1.2026 56.20
2458821.5091435 0.37878 0.00116 1.2077 55.83
2458821.5106829 0.38465 0.00115 1.2130 55.47
2458821.5122106 0.38052 0.00114 1.2184 55.10
2458821.5137269 0.38496 0.00115 1.2238 54.74
2458821.5152662 0.38325 0.00116 1.2293 54.37
2458821.5167940 0.38454 0.00116 1.2350 54.01
2458821.5183102 0.38576 0.00115 1.2406 53.65
2458821.5198495 0.38362 0.00115 1.2465 53.28
2458821.5213657 0.38256 0.00114 1.2524 52.92
2458821.5228819 0.38174 0.00116 1.2583 52.56
2458821.5244676 0.38125 0.00116 1.2647 52.19
2458821.5260301 0.38209 0.00114 1.2710 51.82
2458821.5275926 0.38627 0.00114 1.2775 51.45
2458821.5291435 0.38081 0.00114 1.2840 51.09
2458821.5307176 0.38538 0.00118 1.2908 50.71
2458821.5369097 0.37370 0.00115 1.3184 49.26
2458821.5384491 0.37493 0.00116 1.3255 48.90
2458821.5399653 0.37377 0.00115 1.3327 48.55
2458821.5414815 0.37337 0.00116 1.3400 48.20
2458821.5430093 0.37129 0.00117 1.3475 47.84
2458821.5445255 0.36960 0.00114 1.3550 47.49
2458821.5460417 0.37806 0.00118 1.3626 47.14
2458821.5475694 0.37083 0.00116 1.3705 46.79
2458821.5491435 0.37021 0.00116 1.3787 46.43
2458821.5506597 0.37509 0.00118 1.3867 46.08
2458821.5521991 0.36965 0.00118 1.3950 45.72
2458821.5537269 0.37288 0.00116 1.4033 45.37
2458821.5552431 0.36911 0.00118 1.4118 45.02
2458821.5567593 0.36991 0.00118 1.4204 44.68
2458821.5583102 0.36419 0.00117 1.4293 44.32
2458821.5598611 0.36516 0.00119 1.4383 43.97
2458821.5613889 0.36626 0.00119 1.4474 43.62
2458821.5629398 0.36184 0.00118 1.4568 43.27
2458821.5644560 0.35676 0.00121 1.4661 42.93
2458821.5659954 0.35175 0.00117 1.4757 42.58
2458821.5675463 0.35474 0.00117 1.4856 42.23
2458821.5690625 0.35044 0.00119 1.4954 41.89
2458821.5706134 0.35064 0.00119 1.5056 41.54
2458821.5721296 0.34739 0.00119 1.5157 41.20
2458821.5736458 0.34977 0.00122 1.5260 40.86
2458821.5752199 0.34339 0.00121 1.5368 40.51
2458821.5767477 0.35037 0.00121 1.5476 40.17
2458821.5782639 0.35524 0.00121 1.5584 39.83
2458821.5798032 0.34775 0.00120 1.5696 39.49
2458821.5813310 0.34961 0.00121 1.5808 39.15
2458821.5828472 0.34880 0.00124 1.5922 38.82
2458821.5843866 0.35026 0.00122 1.6040 38.48
2458821.5859375 0.34383 0.00123 1.6160 38.14
2458821.5874537 0.35316 0.00123 1.6280 37.81
2458821.5889931 0.35318 0.00122 1.6404 37.47
2458821.5905787 0.34448 0.00124 1.6534 37.13
2458821.5921065 0.34433 0.00124 1.6661 36.79
2458821.5936343 0.34674 0.00127 1.6790 36.46
2458821.5951736 0.34232 0.00127 1.6923 36.13
2458821.5966898 0.34770 0.00126 1.7056 35.80
2458821.5982176 0.34417 0.00129 1.7192 35.47
2458821.5997338 0.34384 0.00125 1.7329 35.15
2458821.6012500 0.34401 0.00128 1.7469 34.82
2458821.6028356 0.34557 0.00127 1.7618 34.48
2458821.6043519 0.34851 0.00130 1.7763 34.16
2458821.6058681 0.34744 0.00127 1.7911 33.84
2458821.6074074 0.34884 0.00128 1.8063 33.51
2458821.6089468 0.34714 0.00128 1.8218 33.19
