JDHEL V-C s1 HELCOR AIRMASS
Aperture: 3, Filter: Clear, JD: heliocentric
2457127.8321498 -1.17257 0.00199 0.0008954 1.4672
2457127.8329063 -1.16622 0.00198 0.0008954 1.4629
2457127.8336629 -1.17244 0.00195 0.0008954 1.4587
2457127.8344195 -1.17197 0.00196 0.0008955 1.4545
2457127.8351760 -1.16838 0.00198 0.0008955 1.4503
2457127.8359326 -1.16857 0.00190 0.0008955 1.4461
2457127.8366890 -1.17385 0.00187 0.0008956 1.4420
2457127.8374455 -1.16995 0.00184 0.0008956 1.4379
2457127.8382021 -1.16619 0.00181 0.0008957 1.4338
2457127.8389588 -1.17013 0.00183 0.0008957 1.4298
2457127.8397154 -1.16971 0.00183 0.0008957 1.4258
2457127.8404720 -1.16879 0.00186 0.0008958 1.4219
2457127.8412284 -1.17175 0.00184 0.0008958 1.4179
2457127.8419849 -1.17353 0.00181 0.0008958 1.4141
2457127.8427412 -1.17531 0.00178 0.0008959 1.4102
2457127.8434978 -1.16974 0.00177 0.0008959 1.4064
2457127.8442543 -1.16632 0.00179 0.0008959 1.4026
2457127.8450109 99.99999 9.99999 0.0008960 1.3988
2457127.8457677 -1.16982 0.00177 0.0008960 1.3950
2457127.8465244 -1.16322 0.00174 0.0008960 1.3913
2457127.8472810 99.99999 9.99999 0.0008961 1.3876
2457127.8480377 -1.17014 0.00174 0.0008961 1.3840
2457127.8487943 -1.16550 0.00175 0.0008962 1.3804
2457127.8495507 99.99999 9.99999 0.0008962 1.3768
2457127.8503070 -1.17315 0.00176 0.0008962 1.3732
2457127.8510638 99.99999 9.99999 0.0008963 1.3697
2457127.8518202 -1.16767 0.00173 0.0008963 1.3662
2457127.8525767 -1.17019 0.00170 0.0008963 1.3627
2457127.8533332 -1.16994 0.00173 0.0008964 1.3592
2457127.8540898 -1.16965 0.00170 0.0008964 1.3558
2457127.8548463 -1.16997 0.00170 0.0008964 1.3524
2457127.8556029 -1.17320 0.00165 0.0008965 1.3490
2457127.8563594 -1.17406 0.00168 0.0008965 1.3457
2457127.8571160 -1.17453 0.00165 0.0008966 1.3424
2457127.8578726 -1.17034 0.00168 0.0008966 1.3391
2457127.8586291 -1.17403 0.00165 0.0008966 1.3358
2457127.8593857 -1.16849 0.00167 0.0008967 1.3326
2457127.8601425 -1.17551 0.00164 0.0008967 1.3294
2457127.8608990 -1.17018 0.00165 0.0008967 1.3262
2457127.8616556 -1.16685 0.00165 0.0008968 1.3230
2457127.8624125 -1.17003 0.00164 0.0008968 1.3199
2457127.8631693 -1.16875 0.00165 0.0008968 1.3168
2457127.8639255 -1.16683 0.00165 0.0008969 1.3137
2457127.8646823 -1.17027 0.00165 0.0008969 1.3107
2457127.8654390 -1.16841 0.00163 0.0008969 1.3076
2457127.8661956 -1.16941 0.00164 0.0008970 1.3046
2457127.8669522 -1.17044 0.00167 0.0008970 1.3016
2457127.8677087 -1.16630 0.00163 0.0008971 1.2987
2457127.8684653 -1.16702 0.00166 0.0008971 1.2957
2457127.8692217 -1.16731 0.00162 0.0008971 1.2928
2457127.8699782 -1.17097 0.00163 0.0008972 1.2899
2457127.8707348 -1.17065 0.00163 0.0008972 1.2871
2457127.8714915 -1.17449 0.00160 0.0008972 1.2842
2457127.8722481 -1.17238 0.00162 0.0008973 1.2814
2457127.8730049 -1.16759 0.00160 0.0008973 1.2786
2457127.8737611 -1.17316 0.00162 0.0008973 1.2759
2457127.8745177 -1.17291 0.00161 0.0008974 1.2731
2457127.8752743 -1.17203 0.00162 0.0008974 1.2704
2457127.8760308 -1.16953 0.00160 0.0008974 1.2677
2457127.8767879 -1.17205 0.00161 0.0008975 1.2650
2457127.8775445 -1.17209 0.00159 0.0008975 1.2623
2457127.8783011 -1.16997 0.00161 0.0008976 1.2597
2457127.8790576 -1.17551 0.00160 0.0008976 1.2571
2457127.8798140 -1.17101 0.00159 0.0008976 1.2545
2457127.8805706 -1.17381 0.00161 0.0008977 1.2519
2457127.8813272 -1.16937 0.00159 0.0008977 1.2494
2457127.8820837 -1.17194 0.00161 0.0008977 1.2469
2457127.8828403 -1.17107 0.00158 0.0008978 1.2444
2457127.8835968 -1.17206 0.00159 0.0008978 1.2419
2457127.8843533 -1.17585 0.00160 0.0008978 1.2394
2457127.8851099 -1.17348 0.00160 0.0008979 1.2370
2457127.8858664 -1.17071 0.00162 0.0008979 1.2345
2457127.8866230 -1.17232 0.00159 0.0008979 1.2321
2457127.8873796 -1.17054 0.00160 0.0008980 1.2298
2457127.8881361 -1.17146 0.00158 0.0008980 1.2274
2457127.8888929 -1.17302 0.00160 0.0008981 1.2250
2457127.8896494 -1.17778 0.00160 0.0008981 1.2227
2457127.8904060 -1.16954 0.00160 0.0008981 1.2204
2457127.8911626 -1.17462 0.00160 0.0008982 1.2181
2457127.8919193 -1.17650 0.00159 0.0008982 1.2159
2457127.8926759 -1.17315 0.00162 0.0008982 1.2136
2457127.8934328 -1.17416 0.00161 0.0008983 1.2114
2457127.8941896 -1.17008 0.00162 0.0008983 1.2092
2457127.8949459 -1.17319 0.00162 0.0008983 1.2070
2457127.8957024 -1.17925 0.00162 0.0008984 1.2049
2457127.8964590 -1.17725 0.00161 0.0008984 1.2027
2457127.8972154 -1.17961 0.00162 0.0008985 1.2006
2457127.8979719 -1.18181 0.00165 0.0008985 1.1985
2457127.8987285 -1.18141 0.00163 0.0008985 1.1964
2457127.8994851 -1.18321 0.00166 0.0008986 1.1943
2457127.9002416 -1.18088 0.00165 0.0008986 1.1923
2457127.9009984 -1.18099 0.00169 0.0008986 1.1902
2457127.9017549 -1.18284 0.00170 0.0008987 1.1882
2457127.9025115 -1.18318 0.00170 0.0008987 1.1862
2457127.9032681 -1.18439 0.00171 0.0008987 1.1842
2457127.9040248 -1.18383 0.00171 0.0008988 1.1823
2457127.9047814 -1.18531 0.00177 0.0008988 1.1803
2457127.9055376 -1.18388 0.00178 0.0008988 1.1784
2457127.9062941 -1.18495 0.00178 0.0008989 1.1765
2457127.9070507 -1.18558 0.00183 0.0008989 1.1746
2457127.9078074 -1.18106 0.00185 0.0008990 1.1727
2457127.9085638 -1.18365 0.00186 0.0008990 1.1709
2457127.9093202 -1.18409 0.00190 0.0008990 1.1690
2457127.9100768 -1.18477 0.00199 0.0008991 1.1672
2457127.9108333 -1.18300 0.00198 0.0008991 1.1654
2457127.9115899 -1.18011 0.00212 0.0008991 1.1636
2457127.9123465 -1.18873 0.00218 0.0008992 1.1618
2457127.9131030 -1.18851 0.00215 0.0008992 1.1601
2457127.9138596 -1.18407 0.00226 0.0008992 1.1583
2457127.9146160 -1.18733 0.00232 0.0008993 1.1566
2457127.9153725 -1.18954 0.00240 0.0008993 1.1549
2457127.9161291 -1.18697 0.00234 0.0008993 1.1532
2457127.9168859 -1.18429 0.00245 0.0008994 1.1516
2457127.9176423 -1.18766 0.00230 0.0008994 1.1499
2457127.9183988 -1.18831 0.00222 0.0008995 1.1483
2457127.9191556 -1.18681 0.00232 0.0008995 1.1466
2457127.9199121 -1.18866 0.00234 0.0008995 1.1450
2457127.9206687 -1.18535 0.00241 0.0008996 1.1434
2457127.9214253 -1.18887 0.00235 0.0008996 1.1419
2457127.9229384 -1.18606 0.00244 0.0008997 1.1388
2457127.9236950 -1.18489 0.00238 0.0008997 1.1372
2457127.9244517 -1.18196 0.00218 0.0008997 1.1357
2457127.9252083 -1.18781 0.00223 0.0008998 1.1342
2457127.9259645 -1.18155 0.00237 0.0008998 1.1327
2457127.9267211 -1.18383 0.00227 0.0008999 1.1313
2457127.9274777 -1.18760 0.00219 0.0008999 1.1298
2457127.9282344 -1.18313 0.00213 0.0008999 1.1284
2457127.9289910 -1.18115 0.00218 0.0009000 1.1270
2457127.9297475 -1.18528 0.00229 0.0009000 1.1255
2457127.9305041 -1.18539 0.00229 0.0009000 1.1242
2457127.9312609 -1.18751 0.00248 0.0009001 1.1228
2457127.9320174 -1.18636 0.00223 0.0009001 1.1214
2457127.9327742 -1.18469 0.00223 0.0009001 1.1201
2457127.9335309 -1.18443 0.00224 0.0009002 1.1187
2457127.9342873 -1.18818 0.00215 0.0009002 1.1174
2457127.9350439 -1.18626 0.00206 0.0009002 1.1161
2457127.9358008 -1.18505 0.00205 0.0009003 1.1148
2457127.9365572 -1.18337 0.00215 0.0009003 1.1136
2457127.9373138 -1.18190 0.00222 0.0009004 1.1123
