epoch,depth,error
2457127.8639255,-0.46483,0.00231
2457127.8646823,-0.47207,0.00236
2457127.8654390,-0.46798,0.00237
2457127.8661956,-0.46577,0.00233
2457127.8669522,-0.46844,0.00231
2457127.8677087,-0.46588,0.00231
2457127.8684653,-0.47091,0.00235
2457127.8692217,-0.46719,0.00230
2457127.8699782,-0.46967,0.00227
2457127.8707348,-0.47250,0.00231
2457127.8714915,-0.47424,0.00225
2457127.8722481,-0.46614,0.00228
2457127.8730049,-0.46638,0.00226
2457127.8737611,-0.47264,0.00226
2457127.8745177,-0.46936,0.00228
2457127.8752743,-0.47118,0.00225
2457127.8760308,-0.47046,0.00229
2457127.8767879,-0.47042,0.00224
2457127.8775445,-0.46789,0.00226
2457127.8783011,-0.46607,0.00226
2457127.8790576,-0.47032,0.00226
2457127.8798140,-0.46713,0.00224
2457127.8805706,-0.46997,0.00225
2457127.8813272,-0.46427,0.00221
2457127.8820837,-0.47391,0.00225
2457127.8828403,-0.46429,0.00223
2457127.8835968,-0.46874,0.00221
2457127.8843533,-0.47308,0.00222
2457127.8851099,-0.47298,0.00223
2457127.8858664,-0.46740,0.00221
2457127.8866230,-0.46910,0.00220
2457127.8873796,-0.46912,0.00223
2457127.8881361,-0.46731,0.00223
2457127.8888929,-0.47201,0.00221
2457127.8896494,-0.47737,0.00223
2457127.8904060,-0.46812,0.00222
2457127.8911626,-0.47411,0.00223
2457127.8919193,-0.47662,0.00225
2457127.8926759,-0.47450,0.00226
2457127.8934328,-0.47587,0.00224
2457127.8941896,-0.46920,0.00227
2457127.8949459,-0.47586,0.00226
2457127.8957024,-0.47892,0.00228
2457127.8964590,-0.47975,0.00228
2457127.8972154,-0.48070,0.00236
2457127.8979719,-0.47860,0.00235
2457127.8987285,-0.48205,0.00234
2457127.8994851,-0.48581,0.00241
2457127.9002416,-0.48041,0.00241
2457127.9009984,-0.48412,0.00246
2457127.9017549,-0.48780,0.00247
2457127.9025115,-0.47982,0.00246
2457127.9032681,-0.48650,0.00249
2457127.9040248,-0.48271,0.00253
2457127.9047814,-0.48376,0.00262
2457127.9055376,-0.48605,0.00266
2457127.9062941,-0.48450,0.00267
2457127.9070507,-0.48788,0.00273
2457127.9078074,-0.48099,0.00276
2457127.9085638,-0.47844,0.00278
2457127.9093202,-0.48476,0.00289
2457127.9100768,-0.48487,0.00295
2457127.9108333,-0.47982,0.00312
2457127.9115899,-0.48441,0.00334
2457127.9123465,-0.48896,0.00348
2457127.9131030,-0.48816,0.00343
2457127.9138596,-0.48156,0.00365
2457127.9146160,-0.47897,0.00379
2457127.9153725,-0.48832,0.00387
2457127.9161291,-0.48440,0.00384
2457127.9168859,-0.48601,0.00398
2457127.9176423,-0.48477,0.00383
2457127.9183988,-0.49285,0.00349
2457127.9191556,-0.48566,0.00376
2457127.9199121,-0.48993,0.00379
2457127.9206687,-0.48048,0.00388
2457127.9214253,-0.48993,0.00378
2457127.9229384,-0.48631,0.00401
2457127.9236950,-0.47914,0.00378
2457127.9244517,-0.47610,0.00343
2457127.9252083,-0.47813,0.00359
2457127.9259645,-0.47521,0.00378
2457127.9267211,-0.47973,0.00364
2457127.9274777,-0.48573,0.00345
2457127.9282344,-0.47853,0.00341
2457127.9289910,-0.48423,0.00338
2457127.9297475,-0.48178,0.00363
2457127.9305041,-0.47919,0.00374
2457127.9312609,-0.48662,0.00398
2457127.9320174,-0.48796,0.00360
2457127.9327742,-0.48877,0.00362
2457127.9335309,-0.49056,0.00365
2457127.9342873,-0.48681,0.00343
2457127.9350439,-0.48500,0.00325
2457127.9358008,-0.48506,0.00326
2457127.9365572,-0.48299,0.00337
2457127.9373138,-0.47698,0.00357
