JDHEL V-C s1 HELCOR AIRMASS
Aperture: 6, Filter: Clear, JD: heliocentric
2457127.8904060 -0.46812 0.00222 0.0008981 1.2204
2457127.8911626 -0.47411 0.00223 0.0008982 1.2181
2457127.8919193 -0.47662 0.00225 0.0008982 1.2159
2457127.8926759 -0.47450 0.00226 0.0008982 1.2136
2457127.8934328 -0.47587 0.00224 0.0008983 1.2114
2457127.8941896 -0.46920 0.00227 0.0008983 1.2092
2457127.8949459 -0.47586 0.00226 0.0008983 1.2070
2457127.8957024 -0.47892 0.00228 0.0008984 1.2049
2457127.8964590 -0.47975 0.00228 0.0008984 1.2027
2457127.8972154 -0.48070 0.00236 0.0008985 1.2006
2457127.8979719 -0.47860 0.00235 0.0008985 1.1985
2457127.8987285 -0.48205 0.00234 0.0008985 1.1964
2457127.8994851 -0.48581 0.00241 0.0008986 1.1943
2457127.9002416 -0.48041 0.00241 0.0008986 1.1923
2457127.9009984 -0.48412 0.00246 0.0008986 1.1902
2457127.9017549 -0.48780 0.00247 0.0008987 1.1882
2457127.9025115 -0.47982 0.00246 0.0008987 1.1862
2457127.9032681 -0.48650 0.00249 0.0008987 1.1842
2457127.9040248 -0.48271 0.00253 0.0008988 1.1823
2457127.9047814 -0.48376 0.00262 0.0008988 1.1803
2457127.9055376 -0.48605 0.00266 0.0008988 1.1784
2457127.9062941 -0.48450 0.00267 0.0008989 1.1765
2457127.9070507 -0.48788 0.00273 0.0008989 1.1746
2457127.9078074 -0.48099 0.00276 0.0008990 1.1727
2457127.9085638 -0.47844 0.00278 0.0008990 1.1709
2457127.9093202 -0.48476 0.00289 0.0008990 1.1690
2457127.9100768 -0.48487 0.00295 0.0008991 1.1672
2457127.9108333 -0.47982 0.00312 0.0008991 1.1654
2457127.9115899 -0.48441 0.00334 0.0008991 1.1636
2457127.9123465 -0.48896 0.00348 0.0008992 1.1618
2457127.9131030 -0.48816 0.00343 0.0008992 1.1601
2457127.9138596 -0.48156 0.00365 0.0008992 1.1583
2457127.9146160 -0.47897 0.00379 0.0008993 1.1566
2457127.9153725 -0.48832 0.00387 0.0008993 1.1549
2457127.9161291 -0.48440 0.00384 0.0008993 1.1532
2457127.9168859 -0.48601 0.00398 0.0008994 1.1516
2457127.9176423 -0.48477 0.00383 0.0008994 1.1499
2457127.9183988 -0.49285 0.00349 0.0008995 1.1483
2457127.9191556 -0.48566 0.00376 0.0008995 1.1466
2457127.9199121 -0.48993 0.00379 0.0008995 1.1450
2457127.9206687 -0.48048 0.00388 0.0008996 1.1434
2457127.9214253 -0.48993 0.00378 0.0008996 1.1419
2457127.9229384 -0.48631 0.00401 0.0008997 1.1388
2457127.9236950 -0.47914 0.00378 0.0008997 1.1372
2457127.9244517 -0.47610 0.00343 0.0008997 1.1357
2457127.9252083 -0.47813 0.00359 0.0008998 1.1342
2457127.9259645 -0.47521 0.00378 0.0008998 1.1327
