JDHEL V-C s1 HELCOR AIRMASS
Aperture: 7, Filter: Clear, JD: heliocentric
2457127.8321498 -0.73525 0.00430 0.0008954 1.4672
2457127.8329063 -0.72888 0.00433 0.0008954 1.4629
2457127.8336629 -0.72556 0.00405 0.0008954 1.4587
2457127.8344195 -0.73210 0.00395 0.0008955 1.4545
2457127.8351760 -0.73838 0.00389 0.0008955 1.4503
2457127.8359326 -0.72779 0.00383 0.0008955 1.4461
2457127.8366890 -0.73053 0.00384 0.0008956 1.4420
2457127.8374455 -0.73198 0.00372 0.0008956 1.4379
2457127.8382021 -0.72239 0.00365 0.0008957 1.4338
2457127.8389588 -0.72482 0.00370 0.0008957 1.4298
2457127.8397154 -0.72251 0.00366 0.0008957 1.4258
2457127.8404720 -0.73083 0.00374 0.0008958 1.4219
2457127.8412284 -0.72844 0.00363 0.0008958 1.4179
2457127.8419849 -0.73040 0.00350 0.0008958 1.4141
2457127.8427412 -0.72703 0.00338 0.0008959 1.4102
2457127.8434978 -0.72919 0.00346 0.0008959 1.4064
2457127.8442543 -0.72848 0.00341 0.0008959 1.4026
2457127.8450109 99.99999 9.99999 0.0008960 1.3988
2457127.8457677 -0.73125 0.00335 0.0008960 1.3950
2457127.8465244 -0.72601 0.00327 0.0008960 1.3913
2457127.8472810 99.99999 9.99999 0.0008961 1.3876
2457127.8480377 -0.72277 0.00337 0.0008961 1.3840
2457127.8487943 -0.72332 0.00330 0.0008962 1.3804
2457127.8495507 99.99999 9.99999 0.0008962 1.3768
2457127.8503070 -0.73293 0.00332 0.0008962 1.3732
2457127.8510638 99.99999 9.99999 0.0008963 1.3697
2457127.8518202 -0.70348 0.00327 0.0008963 1.3662
2457127.8525767 -0.70832 0.00320 0.0008963 1.3627
2457127.8533332 -0.70102 0.00323 0.0008964 1.3592
2457127.8540898 -0.70089 0.00317 0.0008964 1.3558
2457127.8548463 -0.70257 0.00318 0.0008964 1.3524
2457127.8556029 -0.70400 0.00304 0.0008965 1.3490
2457127.8563594 -0.70676 0.00303 0.0008965 1.3457
2457127.8571160 -0.72624 0.00303 0.0008966 1.3424
2457127.8578726 -0.72520 0.00308 0.0008966 1.3391
2457127.8586291 -0.73024 0.00306 0.0008966 1.3358
2457127.8593857 -0.71964 0.00305 0.0008967 1.3326
2457127.8601425 -0.72267 0.00301 0.0008967 1.3294
2457127.8608990 -0.72080 0.00300 0.0008967 1.3262
2457127.8616556 -0.72089 0.00301 0.0008968 1.3230
2457127.8624125 -0.72518 0.00299 0.0008968 1.3199
2457127.8631693 -0.72185 0.00300 0.0008968 1.3168
2457127.8639255 -0.71730 0.00298 0.0008969 1.3137
2457127.8646823 -0.72169 0.00296 0.0008969 1.3107
2457127.8654390 -0.72181 0.00296 0.0008969 1.3076
2457127.8661956 -0.72084 0.00294 0.0008970 1.3046
2457127.8669522 -0.72414 0.00295 0.0008970 1.3016
2457127.8677087 -0.71886 0.00291 0.0008971 1.2987
2457127.8684653 -0.72143 0.00297 0.0008971 1.2957
2457127.8692217 -0.72336 0.00283 0.0008971 1.2928
2457127.8699782 -0.72165 0.00290 0.0008972 1.2899
2457127.8707348 -0.72080 0.00287 0.0008972 1.2871
2457127.8714915 -0.73124 0.00281 0.0008972 1.2842
2457127.8722481 -0.72584 0.00287 0.0008973 1.2814
2457127.8730049 -0.72492 0.00285 0.0008973 1.2786
2457127.8737611 -0.72536 0.00282 0.0008973 1.2759
2457127.8745177 -0.72938 0.00283 0.0008974 1.2731
2457127.8752743 -0.72620 0.00291 0.0008974 1.2704
2457127.8760308 -0.72572 0.00285 0.0008974 1.2677
2457127.8767879 -0.72162 0.00277 0.0008975 1.2650
2457127.8775445 -0.72883 0.00279 0.0008975 1.2623
2457127.8783011 -0.72580 0.00283 0.0008976 1.2597
2457127.8790576 -0.73201 0.00277 0.0008976 1.2571
2457127.8798140 -0.73062 0.00280 0.0008976 1.2545
2457127.8805706 -0.72439 0.00281 0.0008977 1.2519
2457127.8813272 -0.72266 0.00275 0.0008977 1.2494
2457127.8820837 -0.72628 0.00280 0.0008977 1.2469
2457127.8828403 -0.72645 0.00278 0.0008978 1.2444
2457127.8835968 -0.72643 0.00276 0.0008978 1.2419
2457127.8843533 -0.72578 0.00279 0.0008978 1.2394
2457127.8851099 -0.72629 0.00274 0.0008979 1.2370
2457127.8858664 -0.72168 0.00276 0.0008979 1.2345
2457127.8866230 -0.72804 0.00273 0.0008979 1.2321
2457127.8873796 -0.72189 0.00273 0.0008980 1.2298
2457127.8881361 -0.73003 0.00274 0.0008980 1.2274
2457127.8888929 -0.72653 0.00276 0.0008981 1.2250
2457127.8896494 -0.73001 0.00274 0.0008981 1.2227
2457127.8904060 -0.72535 0.00276 0.0008981 1.2204
2457127.8911626 -0.72895 0.00274 0.0008982 1.2181
2457127.8919193 -0.72615 0.00274 0.0008982 1.2159
2457127.8926759 -0.73106 0.00280 0.0008982 1.2136
2457127.8934328 -0.72760 0.00279 0.0008983 1.2114
2457127.8941896 -0.72025 0.00283 0.0008983 1.2092
2457127.8949459 -0.72540 0.00288 0.0008983 1.2070
2457127.8957024 -0.73246 0.00286 0.0008984 1.2049
2457127.8964590 -0.73230 0.00284 0.0008984 1.2027
2457127.8972154 -0.73998 0.00296 0.0008985 1.2006
2457127.8979719 -0.73338 0.00302 0.0008985 1.1985
2457127.8987285 -0.74223 0.00299 0.0008985 1.1964
2457127.8994851 -0.73807 0.00307 0.0008986 1.1943
2457127.9002416 -0.74290 0.00309 0.0008986 1.1923
2457127.9009984 -0.74251 0.00314 0.0008986 1.1902
2457127.9017549 -0.74268 0.00322 0.0008987 1.1882
2457127.9025115 -0.74290 0.00328 0.0008987 1.1862
2457127.9032681 -0.74265 0.00330 0.0008987 1.1842
2457127.9040248 -0.74018 0.00324 0.0008988 1.1823
2457127.9047814 -0.73970 0.00349 0.0008988 1.1803
2457127.9055376 -0.74451 0.00367 0.0008988 1.1784
2457127.9062941 -0.74090 0.00361 0.0008989 1.1765
2457127.9070507 -0.74102 0.00377 0.0008989 1.1746
2457127.9078074 -0.73658 0.00381 0.0008990 1.1727
2457127.9085638 -0.73790 0.00392 0.0008990 1.1709
2457127.9093202 -0.73933 0.00412 0.0008990 1.1690
2457127.9100768 -0.74400 0.00427 0.0008991 1.1672
2457127.9108333 -0.74232 0.00449 0.0008991 1.1654
2457127.9115899 -0.73571 0.00493 0.0008991 1.1636
2457127.9123465 -0.74703 0.00514 0.0008992 1.1618
2457127.9131030 -0.74227 0.00512 0.0008992 1.1601
2457127.9138596 -0.74577 0.00552 0.0008992 1.1583
2457127.9146160 -0.74777 0.00574 0.0008993 1.1566
2457127.9153725 -0.75047 0.00589 0.0008993 1.1549
2457127.9161291 -0.74291 0.00581 0.0008993 1.1532
2457127.9168859 -0.73648 0.00621 0.0008994 1.1516
2457127.9176423 -0.74332 0.00562 0.0008994 1.1499
2457127.9183988 -0.74832 0.00525 0.0008995 1.1483
2457127.9191556 -0.73831 0.00570 0.0008995 1.1466
2457127.9199121 99.99999 9.99999 0.0008995 1.1450
2457127.9206687 99.99999 9.99999 0.0008996 1.1434
2457127.9214253 99.99999 9.99999 0.0008996 1.1419
2457127.9229384 99.99999 9.99999 0.0008997 1.1388
2457127.9236950 99.99999 9.99999 0.0008997 1.1372
2457127.9244517 99.99999 9.99999 0.0008997 1.1357
2457127.9252083 99.99999 9.99999 0.0008998 1.1342
2457127.9259645 99.99999 9.99999 0.0008998 1.1327
2457127.9267211 99.99999 9.99999 0.0008999 1.1313
2457127.9274777 99.99999 9.99999 0.0008999 1.1298
2457127.9282344 99.99999 9.99999 0.0008999 1.1284
2457127.9289910 99.99999 9.99999 0.0009000 1.1270
2457127.9297475 99.99999 9.99999 0.0009000 1.1255
2457127.9305041 99.99999 9.99999 0.0009000 1.1242
2457127.9312609 99.99999 9.99999 0.0009001 1.1228
2457127.9320174 99.99999 9.99999 0.0009001 1.1214
2457127.9327742 99.99999 9.99999 0.0009001 1.1201
2457127.9335309 99.99999 9.99999 0.0009002 1.1187
2457127.9342873 99.99999 9.99999 0.0009002 1.1174
2457127.9350439 99.99999 9.99999 0.0009002 1.1161
2457127.9358008 99.99999 9.99999 0.0009003 1.1148
2457127.9365572 99.99999 9.99999 0.0009003 1.1136
2457127.9373138 99.99999 9.99999 0.0009004 1.1123
