JD V-C s1 V-K1 s2 C1-K1 s3 C2-K1 s4 C3-K1 s5
Aperture: 10, JD: geocentric
2457918.4279784 -0.52475 0.00164 -0.85347 0.00260 -0.20693 0.00296 -0.52634 0.00274 -0.22213 0.00296
2457918.4287441 -0.52564 0.00162 -0.85185 0.00260 -0.20176 0.00296 -0.52531 0.00275 -0.22027 0.00293
2457918.4295096 -0.52528 0.00164 -0.85234 0.00257 -0.20438 0.00294 -0.52735 0.00272 -0.21780 0.00297
2457918.4302751 -0.52277 0.00182 -0.85344 0.00290 -0.21186 0.00333 -0.52692 0.00307 -0.22294 0.00333
2457918.4310406 -0.52611 0.00180 -0.85172 0.00286 -0.20526 0.00327 -0.52108 0.00304 -0.22042 0.00327
2457918.4318061 -0.52309 0.00184 -0.85356 0.00295 -0.20586 0.00337 -0.52712 0.00314 -0.22793 0.00336
2457918.4325719 -0.52524 0.00185 -0.84805 0.00292 -0.20003 0.00335 -0.51775 0.00308 -0.22071 0.00335
2457918.4333374 -0.52542 0.00179 -0.84539 0.00289 -0.19449 0.00332 -0.52031 0.00307 -0.21339 0.00331
2457918.4341029 -0.52128 0.00179 -0.85357 0.00287 -0.21009 0.00325 -0.53038 0.00302 -0.22545 0.00326
2457918.4348684 -0.52460 0.00180 -0.85221 0.00287 -0.19921 0.00329 -0.52595 0.00305 -0.22652 0.00329
2457918.4356339 -0.52612 0.00192 -0.85267 0.00313 -0.20359 0.00357 -0.52229 0.00332 -0.22359 0.00358
2457918.4363998 -0.52610 0.00207 -0.85130 0.00332 -0.20213 0.00384 -0.52307 0.00353 -0.21953 0.00386
2457918.4371654 -0.52089 0.00202 -0.85135 0.00326 -0.20541 0.00376 -0.52732 0.00348 -0.22806 0.00372
2457918.4379310 -0.52099 0.00195 -0.85305 0.00322 -0.20671 0.00372 -0.53015 0.00342 -0.22835 0.00369
2457918.4386965 -0.51982 0.00181 -0.85171 0.00292 -0.20352 0.00335 -0.52942 0.00309 -0.23186 0.00334
2457918.4394620 -0.52156 0.00177 -0.84989 0.00277 -0.20627 0.00321 -0.52526 0.00295 -0.22290 0.00318
2457918.4402276 -0.52226 0.00174 -0.85784 0.00279 -0.21460 0.00319 -0.53423 0.00294 -0.22680 0.00317
2457918.4409931 -0.52258 0.00172 -0.85254 0.00277 -0.20576 0.00318 -0.52979 0.00291 -0.22280 0.00320
2457918.4417589 -0.52222 0.00169 -0.85671 0.00274 -0.21220 0.00314 -0.53567 0.00290 -0.22364 0.00313
