JD V-C s1
Aperture: 9, Filter: LNIR, JD: geocentric
2458311.4620023 -0.12103 0.00111
2458311.4605556 -0.12231 0.00108
2458311.4591204 -0.12362 0.00109
2458311.4576852 -0.12223 0.00110
2458311.3627315 -0.12615 0.00210
2458311.3641667 -0.12314 0.00194
2458311.3656134 -0.12632 0.00180
2458311.3670486 -0.12339 0.00171
2458311.3684838 -0.11975 0.00157
2458311.3699190 -0.12449 0.00149
2458311.3713657 -0.11632 0.00143
2458311.3728009 -0.11513 0.00148
2458311.3742361 -0.11552 0.00142
2458311.3756829 -0.11142 0.00139
2458311.3771181 -0.10918 0.00137
2458311.3785532 -0.10925 0.00132
2458311.3800000 -0.10838 0.00136
2458311.3814352 -0.10818 0.00132
2458311.3828704 -0.11105 0.00133
2458311.3843056 -0.10931 0.00132
2458311.3857523 -0.10949 0.00126
2458311.3871875 -0.11280 0.00122
2458311.3886227 -0.11115 0.00122
2458311.3900694 -0.10751 0.00123
2458311.3915046 -0.10703 0.00119
2458311.3929398 -0.11107 0.00123
2458311.3943750 -0.10926 0.00123
2458311.3958218 -0.10988 0.00119
2458311.3972569 -0.10540 0.00122
2458311.3986921 -0.10602 0.00120
2458311.4001389 -0.10318 0.00116
2458311.4015741 -0.10643 0.00119
2458311.4030208 -0.10641 0.00118
2458311.4044560 -0.10781 0.00116
2458311.4058912 -0.10266 0.00119
2458311.4073380 -0.10840 0.00115
2458311.4087731 -0.10629 0.00117
2458311.4102083 -0.10539 0.00114
2458311.4116435 -0.10358 0.00118
2458311.4130903 -0.10770 0.00114
2458311.4145255 -0.10644 0.00115
2458311.4159606 -0.10636 0.00114
2458311.4174074 -0.10600 0.00112
2458311.4188426 -0.10733 0.00115
2458311.4202778 -0.10805 0.00115
2458311.4217130 -0.10805 0.00112
2458311.4231481 -0.10913 0.00118
2458311.4245949 -0.10913 0.00115
2458311.4260301 -0.11080 0.00116
2458311.4274653 -0.10784 0.00115
2458311.4289120 -0.10942 0.00115
2458311.4303472 -0.10729 0.00114
2458311.4317824 -0.10919 0.00114
2458311.4332176 -0.10926 0.00112
2458311.4346644 -0.10926 0.00113
2458311.4360995 -0.11000 0.00113
2458311.4375347 -0.11056 0.00111
2458311.4389815 -0.11149 0.00110
2458311.4404167 -0.10934 0.00110
2458311.4418634 -0.11044 0.00112
2458311.4432986 -0.10790 0.00111
2458311.4447338 -0.10878 0.00112
2458311.4461806 -0.10925 0.00109
2458311.4476157 -0.11005 0.00111
2458311.4490509 -0.11229 0.00110
2458311.4504861 -0.11481 0.00110
2458311.4519329 -0.11598 0.00110
2458311.4533681 -0.12056 0.00109
2458311.4548032 -0.11793 0.00107
2458311.4562384 -0.11922 0.00108
2458311.4634375 -0.11981 0.00109
2458311.4648727 -0.12108 0.00109
2458311.4663079 -0.12318 0.00104
