epoch,depth,error
2458673.373186,0.2942
2458673.376730,0.2962
2458673.380275,0.2961
2458673.383822,0.2920
2458673.387367,0.2907
2458673.390914,0.2956
2458673.394460,0.2965
2458673.398216,0.2903
2458673.401761,0.2921
2458673.405306,0.2946
2458673.408852,0.2927
2458673.412395,0.2961
2458673.415939,0.3015
2458673.419485,0.3098
2458673.423024,0.3177
2458673.426570,0.3227
2458673.430115,0.3212
2458673.433659,0.3227
2458673.437204,0.3239
2458673.440750,0.3229
2458673.444295,0.3230
2458673.447841,0.3282
2458673.451386,0.3235
2458673.454930,0.3270
2458673.458470,0.3274
2458673.462014,0.3271
2458673.465559,0.3248
2458673.469104,0.3231
2458673.472647,0.3256
2458673.476192,0.3220
2458673.479737,0.3233
2458673.483278,0.3197
2458673.486822,0.3146
2458673.490371,0.3154
2458673.494167,0.3040
2458673.497742,0.2992
2458673.501286,0.2940
2458673.504829,0.2884
2458673.508374,0.2852
2458673.511919,0.2892
2458673.515462,0.2923
2458673.519005,0.2888
2458673.522550,0.2943
2458673.526095,0.2876
2458673.529641,0.2926
2458673.533186,0.2926
2458673.536728,0.2975
2458673.540269,0.2880
2458673.543814,0.2966
2458673.547360,0.2931
2458673.550903,0.2908
2458673.554447,0.2933

