JDHEL V-C s1
Aperture: 8, Filter: IR-UV, JD: heliocentric
2458306.4930879 0.47699 0.00143
2458306.4945347 0.47317 0.00140
2458306.4960279 0.47752 0.00142
2458306.4974862 0.47807 0.00141
2458306.4989794 0.47548 0.00140
2458306.5004262 0.48038 0.00142
2458306.5019193 0.47407 0.00143
2458306.5033661 0.47574 0.00144
2458306.5048592 0.47519 0.00142
2458306.5063523 0.47857 0.00143
2458306.5078454 0.48016 0.00144
2458306.5092922 0.47444 0.00140
2458306.5107854 0.47369 0.00144
2458306.5122785 0.47887 0.00144
2458306.5137369 0.47473 0.00138
2458306.5152184 0.47206 0.00145
2458306.5166768 0.47700 0.00143
2458306.5181699 0.47935 0.00144
2458306.5196167 0.47723 0.00144
2458306.5211098 0.48140 0.00147
2458306.5225682 0.47829 0.00143
2458306.5240498 0.47612 0.00147
2458306.5255429 0.47980 0.00145
2458306.5270013 0.48071 0.00147
2458306.5284828 0.48385 0.00144
2458306.5299759 0.48670 0.00147
2458306.5314575 0.48679 0.00146
2458306.5329506 0.48950 0.00146
2458306.5344437 0.49440 0.00144
2458306.5359368 0.49249 0.00145
2458306.5373952 0.49102 0.00147
2458306.5388767 0.49151 0.00145
2458306.5403351 0.49336 0.00147
2458306.5418282 0.49222 0.00149
2458306.5432750 0.48813 0.00146
2458306.5447681 0.48921 0.00148
2458306.5462265 0.49324 0.00146
2458306.5476734 0.48921 0.00148
2458306.5491317 0.49058 0.00147
2458306.5506249 0.49338 0.00145
2458306.5520948 0.49690 0.00148
2458306.5535879 0.49437 0.00147
2458306.5550810 0.49272 0.00145
2458306.5565394 0.49316 0.00147
2458306.5579862 0.49340 0.00148
2458306.5594794 0.49391 0.00148
2458306.5609377 0.49144 0.00144
2458306.5624193 0.49002 0.00147
2458306.5638777 0.49318 0.00145
2458306.5653708 0.49145 0.00148
2458306.5668176 0.49071 0.00149
2458306.5682760 0.49280 0.00148
2458306.5697228 0.49031 0.00148
2458306.5711812 0.48945 0.00148
2458306.5726280 0.49071 0.00148
2458306.5741211 0.49585 0.00149
2458306.5756374 0.49002 0.00149
2458306.5770958 0.49388 0.00148
2458306.5785889 0.49052 0.00151
2458306.5800704 0.48852 0.00150
2458306.5815288 0.49349 0.00152
2458306.5829756 0.49256 0.00150
2458306.5844340 0.49214 0.00149
2458306.5859271 0.49617 0.00152
2458306.5873739 99.99999 9.99999
2458306.5888323 0.49070 0.00150
2458306.5903254 0.49226 0.00152
2458306.5917723 0.49229 0.00152
2458306.5932307 0.48705 0.00152
2458306.5947238 0.49145 0.00152
2458306.5961706 0.48861 0.00153
2458306.5976637 0.49617 0.00155
2458306.5991452 0.49131 0.00155
2458306.6006383 0.49102 0.00159
2458306.6020852 0.49006 0.00163
2458306.6035435 0.48593 0.00158
2458306.6049904 0.48577 0.00160
2458306.6064487 0.47919 0.00162
2458306.6079419 0.47971 0.00167
2458306.6093887 0.47994 0.00169
2458306.6108471 99.99999 9.99999
2458306.6122939 0.47848 0.00181
2458306.6137870 0.47486 0.00188
2458306.6152454 0.47627 0.00196
2458306.6166922 0.47852 0.00202
2458306.6181506 0.47772 0.00218
2458306.6195974 0.47862 0.00227
2458306.6210905 0.47726 0.00245
2458306.6225720 0.48254 0.00262
2458306.6240652 0.47414 0.00292
2458306.6255351 0.47655 0.00320
