FOTOMETRÍA RELATIVA

HAT-P-23B 
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS  FWHM"   FONDO   N   NUM
-----------------------------------------  -----  -----  -----  ------  --  ----
2458306.49353    -0.00746  0.00708    153  1.211   1.07   4.75    0.06  01  0001
2458306.49576    -0.00476  0.00740    146  1.204   0.98   4.68   -0.12  01  0002
2458306.49799    -0.00249  0.00708    153  1.197   1.07   4.46    0.05  01  0003
2458306.50023    -0.00732  0.00772    140  1.190   0.90   4.77   -0.26  01  0004
2458306.50243    -0.00343  0.00834    130  1.184   0.77   4.77   -0.49  01  0005
2458306.50470    -0.00602  0.00774    140  1.178   0.89   6.21   -0.20  01  0006
2458306.51365    -0.00656  0.00794    136  1.156   0.85   5.35   -0.29  01  0007
2458306.51812    -0.00459  0.00701    154  1.147   1.09   4.84    0.17  01  0008
2458306.52037    -0.00479  0.00708    153  1.142   1.07   5.39    0.17  01  0009
2458306.52260    -0.00237  0.00712    152  1.138   1.06   5.68    0.16  01  0010
2458306.52480     0.00313  0.00719    151  1.134   1.04   6.03    0.16  01  0011
2458306.52706     0.00168  0.00702    154  1.130   1.09   5.58    0.22  01  0012
2458306.52930     0.00583  0.00704    154  1.126   1.09   5.36    0.21  01  0013
2458306.53375     0.00579  0.00730    148  1.120   1.01   6.49    0.14  01  0014
2458306.53598     0.00518  0.00725    149  1.117   1.03   6.23    0.15  01  0015
2458306.53821     0.00671  0.00715    151  1.114   1.06   6.18    0.17  01  0016
2458306.54046     0.00355  0.00721    150  1.111   1.04   6.18    0.14  01  0017
2458306.54269     0.00790  0.00704    154  1.109   1.09   5.16    0.19  01  0018
2458306.54490     0.00494  0.00709    153  1.106   1.08   5.12    0.16  01  0019
2458306.54713     0.00735  0.00724    150  1.104   1.03   6.18    0.13  01  0020
2458306.54936     0.00400  0.00753    144  1.102   0.95   6.57    0.03  01  0021
2458306.55158     0.00727  0.00735    147  1.101   1.00   6.46    0.10  01  0022
2458306.55382     0.00767  0.00732    148  1.099   1.01   6.33    0.12  01  0023
2458306.55603     0.01171  0.00718    151  1.098   1.05   5.89    0.15  01  0024
2458306.55826     0.00867  0.00723    150  1.096   1.04   5.67    0.12  01  0025
2458306.56049     0.00987  0.00749    145  1.095   0.97   6.38    0.05  01  0026
2458306.56273     0.00474  0.00727    149  1.094   1.02   6.55    0.10  01  0027
2458306.56493     0.00537  0.00728    149  1.094   1.02   6.49    0.09  01  0028
2458306.56720     0.00976  0.00723    150  1.093   1.04   6.18    0.11  01  0029
2458306.56943     0.00718  0.00711    152  1.093   1.07   5.29    0.13  01  0030
2458306.57166     0.00958  0.00728    149  1.093   1.02   5.55    0.06  01  0031
2458306.59839     0.00831  0.00793    136  1.104   0.86   6.18   -0.26  01  0032
2458306.60062     0.00646  0.00757    143  1.106   0.94   6.65   -0.08  01  0033
2458306.60288    -0.00211  0.00806    134  1.108   0.83   6.21   -0.35  01  0034
2458306.60514    -0.00274  0.00757    143  1.111   0.94   5.44   -0.16  01  0035
2458306.60735    -0.00446  0.00712    152  1.113   1.05   4.78    0.06  01  0036
2458306.60958    -0.00051  0.00719    150  1.116   1.04   4.68    0.02  01  0037
2458306.61183    -0.00778  0.00711    152  1.119   1.05   4.56    0.05  01  0038
2458306.61408    -0.00830  0.00710    152  1.122   1.06   4.63    0.05  01  0039
2458306.61850    -0.00530  0.00731    148  1.129   1.00   6.49   -0.01  01  0040
2458306.62073    -0.00868  0.00719    151  1.133   1.03   6.05    0.02  01  0041
2458306.62296    -0.00595  0.00721    150  1.137   1.03   5.72    0.00  01  0042
2458306.62518    -0.01031  0.00721    150  1.141   1.02   5.67   -0.01  01  0043
2458306.62742    -0.00851  0.00727    149  1.145   1.01   6.44   -0.03  01  0044
2458306.62964    -0.00219  0.00734    148  1.150   1.00   6.67   -0.05  01  0045
2458306.63187    -0.00784  0.00729    148  1.155   1.00   6.40   -0.05  01  0046
2458306.63412    -0.00477  0.00719    150  1.160   1.03   5.95   -0.02  01  0047
2458306.63636    -0.00405  0.00707    153  1.165   1.07   4.78    0.01  01  0048
2458306.63861    -0.00565  0.00718    151  1.171   1.04   5.26   -0.04  01  0049

Observador: David Molina | Obs. Anunaki | MPC Z51
FotoDif 3.93
