JDHEL V-C s1
Aperture: 7, Filter: IR-UV, JD: heliocentric
2458317.3965044 0.44561 0.00132
2458317.3979627 0.44158 0.00136
2458317.3994095 0.44557 0.00134
2458317.4009026 0.44684 0.00136
2458317.4038541 0.44824 0.00134
2458317.4053356 0.44507 0.00134
2458317.4068171 0.44275 0.00130
2458317.4082755 0.44110 0.00131
2458317.4097686 0.44349 0.00130
2458317.4112270 0.44770 0.00129
2458317.4127201 0.44864 0.00129
2458317.4156252 0.44699 0.00129
2458317.4170720 0.44496 0.00130
2458317.4200235 0.44745 0.00128
2458317.4215050 0.44516 0.00128
2458317.4229981 0.44904 0.00129
2458317.4244912 0.44483 0.00129
2458317.4259843 0.44757 0.00128
2458317.4274774 0.44295 0.00128
2458317.4289357 0.44895 0.00128
2458317.4304288 0.44994 0.00128
2458317.4318756 0.45128 0.00129
2458317.4333687 0.44791 0.00128
2458317.4348618 0.45249 0.00125
2458317.4363086 99.99999 9.99999
2458317.4378017 0.44625 0.00127
2458317.4392601 0.45158 0.00126
2458317.4407532 0.45390 0.00125
2458317.4422347 0.45917 0.00127
2458317.4437162 0.45658 0.00125
2458317.4452093 0.46118 0.00125
2458317.4467024 0.46296 0.00125
2458317.4481607 0.46445 0.00124
2458317.4496075 0.45923 0.00126
2458317.4511006 0.46512 0.00124
2458317.4525937 0.46293 0.00127
2458317.4540405 0.46376 0.00127
2458317.4555336 0.46458 0.00127
2458317.4569920 0.46068 0.00125
2458317.4584388 0.46299 0.00124
2458317.4599319 0.46608 0.00123
2458317.4614250 0.46334 0.00125
2458317.4628833 0.46754 0.00125
2458317.4643764 0.46248 0.00125
2458317.4658232 0.46580 0.00125
2458317.4673395 0.46426 0.00125
2458317.4687978 0.46425 0.00124
2458317.4702446 0.46178 0.00123
2458317.4717377 0.46542 0.00126
2458317.4731961 0.46745 0.00124
2458317.4746892 0.46411 0.00124
2458317.4761360 0.46657 0.00125
2458317.4775943 0.46731 0.00125
2458317.4790411 0.46580 0.00121
2458317.4804995 0.46476 0.00124
2458317.4819926 0.46699 0.00128
2458317.4848978 0.46556 0.00125
2458317.4863446 0.46922 0.00123
2458317.4878029 0.46535 0.00124
2458317.4892613 0.46764 0.00124
2458317.4907775 0.46936 0.00123
2458317.4922243 0.46595 0.00124
2458317.4936827 0.46217 0.00123
2458317.4951758 0.46613 0.00122
2458317.4966689 0.46424 0.00122
2458317.4981157 0.46833 0.00123
2458317.4995741 0.46848 0.00123
2458317.5010671 0.46200 0.00125
2458317.5025602 0.46476 0.00127
2458317.5040070 0.46321 0.00122
2458317.5054654 0.46554 0.00123
2458317.5069585 0.46299 0.00125
2458317.5084053 0.46673 0.00125
2458317.5098984 0.46123 0.00123
2458317.5113915 0.46569 0.00124
2458317.5128846 0.46172 0.00124
2458317.5143545 0.46356 0.00123
2458317.5158476 0.46391 0.00124
2458317.5173060 0.45993 0.00123
2458317.5187528 0.45957 0.00123
2458317.5202459 0.45670 0.00122
2458317.5217042 0.45899 0.00123
2458317.5231510 0.45602 0.00123
2458317.5246441 0.45396 0.00123
2458317.5261372 0.45540 0.00122
2458317.5275956 0.45496 0.00122
2458317.5290424 0.45315 0.00124
2458317.5305355 0.45194 0.00123
2458317.5319938 0.45352 0.00124
2458317.5334869 0.45390 0.00123
2458317.5349337 0.45190 0.00124
2458317.5364268 0.45252 0.00123
2458317.5379431 99.99999 9.99999
2458317.5394014 0.45166 0.00125
2458317.5408482 0.45170 0.00123
2458317.5423066 99.99999 9.99999
2458317.5437650 0.44950 0.00124
2458317.5452118 0.45347 0.00123
2458317.5466701 0.45365 0.00123
