JD V-C s1
Aperture: 6, Filter: V, JD: geocentric
2458744.4841319 -0.30342 0.00173
2458744.4826968 -0.30352 0.00169
2458744.4812500 -0.30657 0.00173
2458744.4798148 -0.30560 0.00175
2458744.4783796 -0.30455 0.00175
2458744.4769444 -0.30521 0.00173
2458744.4755093 -0.30491 0.00170
2458744.4740625 -0.30492 0.00171
2458744.4726273 -0.30563 0.00169
2458744.4711921 -0.30467 0.00170
2458744.4683102 -0.30627 0.00164
2458744.4668750 -0.30509 0.00165
2458744.4654398 -0.30552 0.00165
2458744.4640046 -0.30274 0.00164
2458744.4625694 -0.30530 0.00166
2458744.4611227 -0.30545 0.00167
2458744.4596875 -0.30156 0.00169
2458744.4582523 -0.30025 0.00169
2458744.4568171 -0.30188 0.00170
2458744.4553704 -0.29684 0.00168
2458744.4539352 -0.29882 0.00163
2458744.4525000 -0.29519 0.00163
2458744.4510648 -0.29208 0.00162
2458744.4496296 -0.28933 0.00159
2458744.4481829 -0.28925 0.00162
2458744.4467477 -0.29275 0.00165
2458744.4453009 -0.29124 0.00161
2458744.4438657 -0.29320 0.00167
2458744.4424306 -0.28831 0.00160
2458744.4409954 -0.28651 0.00161
2458744.4395602 -0.28878 0.00159
2458744.4381134 -0.28757 0.00161
2458744.4366782 -0.29124 0.00158
2458744.4352431 -0.28510 0.00166
2458744.4338079 -0.28849 0.00164
2458744.4323611 -0.28838 0.00162
2458744.4309259 -0.28533 0.00160
2458744.4294907 -0.28784 0.00161
2458744.4280556 -0.28692 0.00164
2458744.4266088 -0.28434 0.00160
2458744.4251736 -0.28392 0.00161
2458744.4237384 -0.28359 0.00162
2458744.4223032 -0.28611 0.00159
2458744.4208681 -0.28407 0.00158
2458744.4194213 -0.28203 0.00160
2458744.4179861 -0.28561 0.00160
2458744.4165509 -0.28646 0.00161
2458744.4151157 -0.28918 0.00164
2458744.4136690 -0.28754 0.00160
2458744.4122338 -0.28909 0.00163
2458744.4107986 -0.28632 0.00164
2458744.4093634 -0.28682 0.00159
2458744.4079167 -0.28712 0.00160
2458744.4064815 -0.28842 0.00161
2458744.4050463 -0.28639 0.00160
2458744.4036111 -0.28785 0.00161
2458744.4021759 -0.28828 0.00158
2458744.4007292 -0.28521 0.00162
2458744.3992940 -0.28428 0.00160
2458744.3978588 -0.28876 0.00158
2458744.3964236 -0.28664 0.00161
2458744.3949769 -0.28616 0.00160
2458744.3935417 -0.28684 0.00157
2458744.3921065 -0.28863 0.00160
2458744.3906713 -0.29000 0.00162
2458744.3892245 -0.29101 0.00160
2458744.3877894 -0.28928 0.00160
2458744.3863542 -0.29084 0.00162
2458744.3849190 -0.28943 0.00161
2458744.3834838 -0.28674 0.00157
2458744.3820370 -0.29031 0.00160
2458744.3806019 -0.28954 0.00162
2458744.3791667 -0.29206 0.00161
2458744.3777315 -0.29291 0.00157
2458744.3762847 -0.29307 0.00156
2458744.3748495 -0.29582 0.00159
2458744.3734144 -0.29769 0.00162
2458744.3719676 -0.30162 0.00156
2458744.3705324 -0.30510 0.00160
2458744.3690972 -0.30486 0.00159
2458744.3676620 -0.30356 0.00159
2458744.3662269 -0.30463 0.00160
2458744.3647801 -0.30059 0.00164
2458744.3633449 -0.30432 0.00158
2458744.3619097 -0.30462 0.00156
2458744.3604745 -0.30503 0.00157
2458744.3590278 -0.30275 0.00156
2458744.3575926 -0.30482 0.00157
2458744.3561574 -0.30240 0.00154
2458744.3547222 -0.30640 0.00156
2458744.3532755 -0.30300 0.00155
2458744.3518403 -0.30852 0.00155
2458744.3504051 -0.30228 0.00156
2458744.3489699 -0.30478 0.00157
2458744.3475347 -0.30243 0.00155
2458744.3460880 -0.30335 0.00156
2458744.3446528 -0.30406 0.00158
2458744.3432176 -0.30733 0.00156
2458744.3417824 -0.30670 0.00155
2458744.3403356 -0.30847 0.00155
2458744.3389005 -0.30635 0.00156
2458744.3374653 -0.30239 0.00157
2458744.3360301 -0.30374 0.00155
2458744.3345949 -0.30546 0.00158
2458744.3331481 -0.30303 0.00157
2458744.3317130 -0.30709 0.00157
2458744.3302778 -0.30517 0.00157
2458744.3288426 -0.30731 0.00156
2458744.3273958 -0.30291 0.00154
2458744.3259606 -0.30399 0.00157
2458744.3245255 -0.30703 0.00157
2458744.3230787 -0.30664 0.00156
2458744.3216435 -0.30536 0.00155
2458744.3202083 -0.30150 0.00156
2458744.3187731 -0.30732 0.00155
2458744.3173380 -0.30551 0.00154
2458744.3158912 -0.30275 0.00155
2458744.3144560 -0.30444 0.00155
2458744.3130208 -0.30757 0.00153
2458744.3115856 -0.30631 0.00152
2458744.3101389 -0.30629 0.00154
2458744.3087037 -0.30367 0.00152
2458744.3072685 -0.30589 0.00153
2458744.3058333 -0.30794 0.00153
2458744.3043866 -0.30671 0.00155
2458744.3000810 -0.30451 0.00152
2458744.3015162 -0.30461 0.00154
2458744.3029514 -0.30721 0.00153
