#HJD          dMag   Err    Fil
2456874.71826 1.1441 0.0022 I 
2456874.71840 1.1535 0.0023 I 
2456874.71853 1.1501 0.0023 I 
2456874.71867 1.1497 0.0022 I 
2456874.71881 1.1557 0.0023 I 
2456874.71895 1.1585 0.0023 I 
2456874.71909 1.1434 0.0022 I 
2456874.71923 1.1547 0.0022 I 
2456874.71936 1.1478 0.0022 I 
2456874.71950 1.1393 0.0022 I 
2456874.71964 1.1449 0.0022 I 
2456874.71978 1.1553 0.0023 I 
2456874.71992 1.1488 0.0022 I 
2456874.72006 1.1514 0.0023 I 
2456874.72020 1.1497 0.0023 I 
2456874.72033 1.1582 0.0022 I 
2456874.72047 1.1443 0.0023 I 
2456874.72061 1.1635 0.0023 I 
2456874.72075 1.1470 0.0022 I 
2456874.72089 1.1202 0.0022 I 
2456874.72103 1.1552 0.0022 I 
2456874.72117 1.1512 0.0023 I 
2456874.72131 1.1662 0.0023 I 
2456874.72144 1.1460 0.0023 I 
2456874.72158 1.1420 0.0023 I 
2456874.72172 1.1505 0.0022 I 
2456874.72186 1.1455 0.0022 I 
2456874.72200 1.1637 0.0024 I 
2456874.72214 1.1330 0.0024 I 
2456874.72227 1.1432 0.0023 I 
2456874.72241 1.1630 0.0024 I 
2456874.72255 1.1544 0.0023 I 
2456874.72269 1.1710 0.0026 I 
2456874.72283 1.1626 0.0022 I 
2456874.72297 1.1309 0.0023 I 
2456874.72310 1.1321 0.0023 I 
2456874.72324 1.1383 0.0023 I 
2456874.72338 1.1578 0.0024 I 
2456874.72352 1.1524 0.0024 I 
2456874.72366 1.1683 0.0023 I 
2456874.72380 1.1279 0.0023 I 
2456874.72393 1.1462 0.0023 I 
2456874.72407 1.1383 0.0024 I 
2456874.72421 1.1456 0.0022 I 
2456874.72435 1.1433 0.0022 I 
2456874.72449 1.1398 0.0022 I 
2456874.72463 1.1282 0.0022 I 
2456874.72477 1.1196 0.0022 I 
2456874.72490 1.1450 0.0022 I 
2456874.72505 1.1149 0.0022 I 
2456874.72518 1.1591 0.0022 I 
2456874.72532 1.1565 0.0023 I 
2456874.72546 1.1501 0.0023 I 
2456874.72560 1.1449 0.0023 I 
2456874.72574 1.1097 0.0023 I 
2456874.72587 1.1292 0.0022 I 
2456874.72602 1.1285 0.0022 I 
2456874.72615 1.1260 0.0022 I 
2456874.72629 1.1333 0.0022 I 
2456874.72643 1.1479 0.0023 I 
2456874.72656 1.1368 0.0023 I 
2456874.72670 1.1331 0.0023 I 
2456874.72684 1.1622 0.0024 I 
2456874.72698 1.1656 0.0024 I 
2456874.72712 1.1556 0.0023 I 
2456874.72726 1.1396 0.0023 I 
2456874.72741 1.1620 0.0022 I 
2456874.72755 1.1424 0.0022 I 
2456874.72768 1.1543 0.0023 I 
2456874.72782 1.1446 0.0023 I 
2456874.72796 1.1393 0.0024 I 
2456874.72810 1.1664 0.0024 I 
2456874.72824 1.1174 0.0022 I 
2456874.72837 1.1532 0.0023 I 
2456874.72851 1.1132 0.0023 I 
2456874.72865 1.1509 0.0023 I 
2456874.72879 1.1307 0.0023 I 
2456874.72893 1.1428 0.0023 I 
2456874.72907 1.1211 0.0023 I 
2456874.72920 1.1433 0.0023 I 
2456874.72934 1.1216 0.0023 I 
2456874.72948 1.1301 0.0023 I 
2456874.72962 1.1263 0.0023 I 
2456874.72976 1.1289 0.0023 I 
2456874.72990 1.1318 0.0023 I 
2456874.73004 1.1165 0.0022 I 
2456874.73017 1.1188 0.0023 I 
2456874.73031 1.1474 0.0024 I 
2456874.73045 1.1281 0.0023 I 
2456874.73059 1.1265 0.0022 I 
2456874.73073 1.1290 0.0023 I 
2456874.73087 1.1503 0.0024 I 
2456874.73101 1.1229 0.0024 I 
2456874.73114 1.0988 0.0023 I 
2456874.73128 1.1282 0.0023 I 
2456874.73142 1.1142 0.0023 I 
2456874.73156 1.1198 0.0022 I 
2456874.73170 1.1298 0.0023 I 
2456874.73184 1.1287 0.0023 I 
2456874.73197 1.1192 0.0023 I 
2456874.73211 1.1169 0.0022 I 
2456874.73225 1.1104 0.0022 I 
2456874.73239 1.1379 0.0024 I 
2456874.73253 1.1178 0.0023 I 
2456874.73267 1.1144 0.0023 I 
2456874.73281 1.1248 0.0023 I 
2456874.73295 1.1343 0.0024 I 
2456874.73309 1.1450 0.0024 I 
2456874.73322 1.1161 0.0025 I 
2456874.73336 1.1179 0.0024 I 
2456874.73350 1.1323 0.0024 I 
2456874.73364 1.1075 0.0025 I 
2456874.73378 1.1233 0.0023 I 
2456874.73392 1.1216 0.0023 I 
2456874.73406 1.1347 0.0023 I 
2456874.73419 1.1256 0.0023 I 
2456874.73431 1.1125 0.0023 I 
2456874.73446 1.1229 0.0023 I 
2456874.73460 1.1178 0.0023 I 
2456874.73473 1.1311 0.0022 I 
2456874.73487 1.1345 0.0023 I 
2456874.73501 1.1194 0.0023 I 
2456874.73515 1.1182 0.0023 I 
2456874.73529 1.1203 0.0023 I 
2456874.73543 1.1055 0.0022 I 
2456874.73557 1.1034 0.0022 I 
2456874.73570 1.1069 0.0022 I 
2456874.73584 1.1261 0.0022 I 
2456874.73598 1.1230 0.0022 I 
2456874.73612 1.1204 0.0022 I 
2456874.73626 1.1019 0.0022 I 
2456874.73640 1.1251 0.0022 I 
2456874.73654 1.1020 0.0023 I 
2456874.73667 1.1239 0.0023 I 
2456874.73681 1.1097 0.0023 I 
2456874.73695 1.1078 0.0023 I 
2456874.73709 1.1174 0.0023 I 
2456874.73723 1.1182 0.0023 I 
2456874.73736 1.1136 0.0023 I 
2456874.73751 1.1317 0.0023 I 
2456874.73764 1.1222 0.0023 I 
2456874.73778 1.0996 0.0023 I 
2456874.73792 1.1157 0.0022 I 
2456874.73806 1.1517 0.0023 I 
2456874.73820 1.1070 0.0023 I 
2456874.73834 1.1261 0.0022 I 
2456874.73847 1.1284 0.0023 I 
2456874.73861 1.1236 0.0023 I 
2456874.73875 1.1062 0.0023 I 
2456874.73889 1.1138 0.0024 I 
2456874.73903 1.1343 0.0026 I 
2456874.73917 1.1160 0.0025 I 
2456874.73931 1.1220 0.0024 I 
2456874.73945 1.1477 0.0024 I 
2456874.73958 1.1112 0.0024 I 
2456874.73972 1.1217 0.0024 I 
2456874.73986 1.1266 0.0024 I 
2456874.74000 1.1145 0.0024 I 
2456874.74014 1.1271 0.0024 I 
2456874.74027 1.1243 0.0024 I 
2456874.74042 1.1378 0.0023 I 
2456874.74055 1.1143 0.0023 I 
2456874.74069 1.1242 0.0023 I 
2456874.74083 1.1096 0.0023 I 
2456874.74097 1.0969 0.0023 I 
2456874.74111 1.0999 0.0023 I 
2456874.74125 1.1227 0.0023 I 
2456874.74138 1.1085 0.0023 I 
2456874.74152 1.1208 0.0023 I 
2456874.74166 1.1145 0.0023 I 
2456874.74180 1.1132 0.0022 I 
2456874.74194 1.1190 0.0022 I 
2456874.74208 1.1267 0.0023 I 
2456874.74222 1.1084 0.0023 I 
2456874.74235 1.1134 0.0023 I 
2456874.74249 1.1394 0.0023 I 
2456874.74263 1.1130 0.0023 I 
2456874.74277 1.1320 0.0023 I 
2456874.74291 1.1357 0.0023 I 
2456874.74305 1.1344 0.0023 I 
2456874.74318 1.1057 0.0023 I 
2456874.74332 1.1476 0.0023 I 
2456874.74346 1.1142 0.0023 I 
2456874.74360 1.1152 0.0023 I 
2456874.74374 1.1156 0.0023 I 
