#HJD          dMag   Err    Fil
2456874.64401 1.1059 0.0020 I 
2456874.64416 1.1123 0.0020 I 
2456874.64429 1.1222 0.0020 I 
2456874.64443 1.1150 0.0020 I 
2456874.64457 1.1137 0.0020 I 
2456874.64471 1.1158 0.0020 I 
2456874.64485 1.1127 0.0020 I 
2456874.64498 1.1139 0.0020 I 
2456874.64512 1.1172 0.0020 I 
2456874.64526 1.1118 0.0020 I 
2456874.64540 1.1081 0.0020 I 
2456874.64554 1.1145 0.0019 I 
2456874.64568 1.1120 0.0020 I 
2456874.64582 1.1128 0.0020 I 
2456874.64596 1.1116 0.0019 I 
2456874.64609 1.1141 0.0019 I 
2456874.64623 1.1110 0.0019 I 
2456874.64637 1.1101 0.0019 I 
2456874.64651 1.1090 0.0019 I 
2456874.64665 1.1144 0.0020 I 
2456874.64679 1.1190 0.0019 I 
2456874.64693 1.1173 0.0020 I 
2456874.64707 1.1139 0.0020 I 
2456874.64721 1.1172 0.0020 I 
2456874.64734 1.1153 0.0020 I 
2456874.64748 1.1181 0.0020 I 
2456874.64762 1.1146 0.0019 I 
2456874.64776 1.1123 0.0019 I 
2456874.64790 1.1104 0.0019 I 
2456874.64804 1.1121 0.0019 I 
2456874.64818 1.1190 0.0019 I 
2456874.64831 1.1109 0.0019 I 
2456874.64846 1.1174 0.0019 I 
2456874.64859 1.1107 0.0019 I 
2456874.64873 1.1132 0.0019 I 
2456874.64887 1.1127 0.0020 I 
2456874.64901 1.1155 0.0019 I 
2456874.64914 1.1176 0.0019 I 
2456874.64928 1.1170 0.0019 I 
2456874.64942 1.1097 0.0019 I 
2456874.64956 1.1132 0.0020 I 
2456874.64970 1.1270 0.0020 I 
2456874.64984 1.1222 0.0020 I 
2456874.64998 1.1269 0.0020 I 
2456874.65012 1.1288 0.0020 I 
2456874.65026 1.1278 0.0020 I 
2456874.65039 1.1204 0.0020 I 
2456874.65053 1.1309 0.0020 I 
2456874.65067 1.1270 0.0020 I 
2456874.65081 1.1246 0.0020 I 
2456874.65094 1.1304 0.0020 I 
2456874.65107 1.1256 0.0020 I 
2456874.65121 1.1299 0.0020 I 
2456874.65135 1.1293 0.0020 I 
2456874.65149 1.1246 0.0020 I 
2456874.65163 1.1259 0.0020 I 
2456874.65177 1.1209 0.0019 I 
2456874.65190 1.1253 0.0020 I 
2456874.65204 1.1299 0.0020 I 
2456874.65218 1.1234 0.0020 I 
2456874.65232 1.1228 0.0020 I 
2456874.65246 1.1303 0.0020 I 
2456874.65260 1.1249 0.0020 I 
2456874.65274 1.1332 0.0020 I 
2456874.65287 1.1305 0.0020 I 
2456874.65301 1.1340 0.0020 I 
2456874.65315 1.1310 0.0020 I 
2456874.65329 1.1289 0.0020 I 
2456874.65343 1.1281 0.0020 I 
2456874.65357 1.1297 0.0020 I 
2456874.65371 1.1303 0.0020 I 
2456874.65384 1.1348 0.0020 I 
2456874.65398 1.1317 0.0020 I 
2456874.65412 1.1330 0.0020 I 
2456874.65426 1.1400 0.0020 I 
2456874.65440 1.1380 0.0020 I 
2456874.65454 1.1307 0.0020 I 
2456874.65468 1.1333 0.0020 I 
2456874.65481 1.1343 0.0020 I 
2456874.65495 1.1261 0.0021 I 
2456874.65509 1.1356 0.0020 I 
2456874.65523 1.1247 0.0020 I 
2456874.65537 1.1364 0.0020 I 
2456874.65551 1.1369 0.0020 I 
2456874.65565 1.1307 0.0020 I 
2456874.65579 1.1388 0.0020 I 
2456874.65592 1.1343 0.0020 I 
2456874.65606 1.1437 0.0020 I 
2456874.65620 1.1311 0.0021 I 
2456874.65634 1.1453 0.0021 I 
2456874.65648 1.1283 0.0020 I 
2456874.65661 1.1326 0.0020 I 
2456874.65675 1.1362 0.0020 I 
2456874.65689 1.1387 0.0020 I 
2456874.65703 1.1364 0.0020 I 
2456874.65717 1.1374 0.0020 I 
2456874.65731 1.1358 0.0020 I 
2456874.65745 1.1321 0.0020 I 
2456874.65759 1.1378 0.0019 I 
2456874.65773 1.1307 0.0019 I 
2456874.65787 1.1349 0.0019 I 
2456874.65800 1.1334 0.0019 I 
2456874.65814 1.1364 0.0020 I 
2456874.65828 1.1329 0.0020 I 
2456874.65842 1.1345 0.0020 I 
2456874.65855 1.1412 0.0020 I 
2456874.65869 1.1432 0.0020 I 
2456874.65883 1.1278 0.0020 I 
2456874.65897 1.1329 0.0020 I 
2456874.65911 1.1356 0.0020 I 
2456874.65925 1.1444 0.0020 I 
2456874.65939 1.1282 0.0019 I 
2456874.65952 1.1317 0.0020 I 
2456874.65966 1.1340 0.0019 I 
2456874.65980 1.1386 0.0020 I 
2456874.65994 1.1320 0.0020 I 
2456874.66008 1.1324 0.0020 I 
2456874.66022 1.1470 0.0020 I 
2456874.66036 1.1343 0.0020 I 
2456874.66050 1.1338 0.0020 I 
2456874.66063 1.1379 0.0020 I 
2456874.66077 1.1285 0.0020 I 
2456874.66091 1.1365 0.0020 I 
2456874.66105 1.1353 0.0020 I 
2456874.66119 1.1480 0.0021 I 
2456874.66132 1.1557 0.0022 I 
2456874.66146 1.1387 0.0022 I 
2456874.66160 1.1443 0.0020 I 
2456874.66174 1.1376 0.0020 I 
2456874.66188 1.1341 0.0020 I 
2456874.66202 1.1336 0.0020 I 
2456874.66215 1.1336 0.0020 I 
2456874.66229 1.1403 0.0020 I 
2456874.66243 1.1422 0.0020 I 
2456874.66257 1.1303 0.0020 I 
2456874.66271 1.1448 0.0020 I 
2456874.66285 1.1411 0.0020 I 
2456874.66299 1.1346 0.0020 I 
2456874.66313 1.1364 0.0020 I 
2456874.66326 1.1335 0.0020 I 
