JD V-C s1
Aperture: 6, Filter: LNIR, JD: geocentric
2457615.47358 0.06345 0.00165
2457615.47283 99.99999 9.99999
2457615.47208 99.99999 9.99999
2457615.47133 0.06199 0.00164
2457615.47059 99.99999 9.99999
2457615.46984 0.06781 0.00162
2457615.46909 0.06634 0.00164
2457615.46834 0.06407 0.00165
2457615.46759 0.06509 0.00161
2457615.46684 0.06718 0.00166
2457615.46609 0.06343 0.00163
2457615.46535 0.06420 0.00158
2457615.46460 0.06579 0.00163
2457615.46385 0.06426 0.00162
2457615.46310 99.99999 9.99999
2457615.46235 99.99999 9.99999
2457615.46161 99.99999 9.99999
2457615.46085 99.99999 9.99999
2457615.46010 0.06297 0.00160
2457615.45935 0.06092 0.00162
2457615.45860 0.06380 0.00162
2457615.45784 0.06145 0.00162
2457615.45709 99.99999 9.99999
2457615.45634 0.06222 0.00162
2457615.45558 0.06355 0.00163
2457615.45484 99.99999 9.99999
2457615.45408 0.06567 0.00163
2457615.45333 0.06104 0.00163
2457615.45258 0.06307 0.00162
2457615.45182 0.06526 0.00164
2457615.45107 0.06540 0.00160
2457615.45032 0.06355 0.00160
2457615.44957 0.06384 0.00162
2457615.44881 0.06130 0.00166
2457615.44806 0.06163 0.00159
2457615.44731 99.99999 9.99999
2457615.44655 99.99999 9.99999
2457615.44580 0.06234 0.00160
2457615.44505 0.06152 0.00162
2457615.44430 0.06543 0.00160
2457615.44355 0.06144 0.00166
2457615.44280 0.06281 0.00162
2457615.44205 0.06118 0.00166
2457615.44130 0.06030 0.00162
2457615.44055 0.06310 0.00163
2457615.43980 0.06269 0.00163
2457615.43905 0.06023 0.00163
2457615.43830 0.06465 0.00164
2457615.43754 0.05997 0.00164
2457615.43671 0.05956 0.00165
2457615.43565 0.05981 0.00165
2457615.43490 0.05888 0.00163
2457615.43414 0.05914 0.00163
2457615.43338 0.06323 0.00165
2457615.43232 0.05548 0.00164
2457615.43156 0.05931 0.00163
2457615.43081 0.05730 0.00164
2457615.43006 0.05576 0.00162
2457615.42930 0.05717 0.00162
2457615.42855 0.05419 0.00165
2457615.42780 0.05595 0.00165
2457615.42705 99.99999 9.99999
2457615.42629 0.05233 0.00165
2457615.42554 0.05589 0.00164
2457615.42479 0.05272 0.00164
2457615.42403 0.04776 0.00164
2457615.42328 0.04828 0.00164
2457615.42253 99.99999 9.99999
2457615.42177 99.99999 9.99999
2457615.42102 99.99999 9.99999
2457615.42027 0.03908 0.00163
2457615.41951 0.03799 0.00161
2457615.41876 0.03398 0.00161
2457615.41800 0.03205 0.00164
2457615.41725 0.03254 0.00164
2457615.41650 0.03028 0.00165
2457615.41575 0.03234 0.00164
2457615.41499 99.99999 9.99999
2457615.41424 0.02551 0.00162
2457615.41349 0.02533 0.00163
2457615.41273 0.02520 0.00161
2457615.41198 0.02403 0.00164
2457615.41123 0.02374 0.00160
2457615.41048 0.02379 0.00160
2457615.40972 0.02882 0.00159
2457615.40897 99.99999 9.99999
2457615.40822 99.99999 9.99999
2457615.40746 99.99999 9.99999
2457615.40671 0.02334 0.00161
2457615.40596 99.99999 9.99999
2457615.40520 0.02503 0.00160
2457615.40445 0.02683 0.00160
2457615.40370 99.99999 9.99999
2457615.40294 99.99999 9.99999
2457615.40219 0.02457 0.00158
2457615.40144 0.02455 0.00160
2457615.40069 0.02859 0.00161
2457615.39993 0.02796 0.00160
2457615.39918 0.02621 0.00164
2457615.39843 0.02857 0.00161
2457615.39767 0.02646 0.00162
2457615.39692 0.02698 0.00160
2457615.39617 0.02951 0.00162
2457615.39541 0.02724 0.00161
2457615.39466 0.02870 0.00159
2457615.39391 0.03102 0.00159
2457615.39316 0.02825 0.00160
2457615.39240 99.99999 9.99999
2457615.39165 99.99999 9.99999
2457615.39090 99.99999 9.99999
2457615.38939 99.99999 9.99999
2457615.38638 99.99999 9.99999
2457615.38562 99.99999 9.99999
2457615.38487 99.99999 9.99999
2457615.38412 99.99999 9.99999
2457615.38337 99.99999 9.99999
2457615.37809 99.99999 9.99999
2457615.37433 99.99999 9.99999
2457615.37358 99.99999 9.99999
2457615.37282 99.99999 9.99999
2457615.37207 99.99999 9.99999
2457615.37132 99.99999 9.99999
2457615.37056 99.99999 9.99999
2457615.36981 99.99999 9.99999
2457615.36906 99.99999 9.99999
