JD V-C s1
Aperture: 8, Filter: LNIR, JD: geocentric
2457263.30403 -0.35965 0.00273
2457263.30549 -0.36273 0.00254
2457263.30694 -0.36087 0.00246
2457263.30987 -0.35911 0.00225
2457263.31135 -0.36346 0.00223
2457263.31280 -0.36012 0.00223
2457263.31576 -0.36373 0.00213
2457263.31729 -0.36019 0.00214
2457263.31873 -0.36377 0.00221
2457263.32026 -0.35953 0.00215
2457263.32323 -0.36388 0.00209
2457263.32474 -0.36563 0.00210
2457263.32619 -0.36423 0.00210
2457263.32798 -0.36256 0.00210
2457263.32943 -0.36658 0.00212
2457263.33088 -0.35745 0.00210
2457263.33233 -0.35377 0.00210
2457263.33378 -0.35454 0.00214
2457263.33523 -0.35052 0.00208
2457263.33667 -0.34333 0.00210
2457263.33812 -0.34095 0.00214
2457263.33956 -0.33863 0.00213
2457263.34111 -0.33719 0.00215
2457263.34277 -0.33884 0.00214
2457263.34594 -0.33604 0.00211
2457263.34746 -0.33232 0.00216
2457263.34891 -0.33750 0.00215
2457263.35036 -0.33505 0.00210
2457263.35181 -0.33420 0.00216
2457263.35325 -0.33447 0.00212
2457263.35470 -0.33408 0.00212
2457263.35768 99.99999 9.99999
2457263.35942 -0.33798 0.00218
2457263.36094 -0.33451 0.00210
2457263.36245 -0.33758 0.00217
2457263.36390 -0.33698 0.00217
2457263.36535 -0.33690 0.00216
2457263.36680 -0.33595 0.00214
2457263.36825 -0.33008 0.00212
2457263.36969 -0.33260 0.00215
2457263.37114 -0.33045 0.00215
2457263.37266 -0.33688 0.00221
2457263.37431 -0.33060 0.00219
2457263.37598 -0.33174 0.00216
2457263.37750 -0.33593 0.00224
2457263.37903 -0.33928 0.00222
2457263.38048 -0.33539 0.00218
2457263.38193 -0.33821 0.00216
2457263.38338 -0.33711 0.00219
2457263.38483 -0.33698 0.00222
2457263.38628 -0.34018 0.00221
2457263.38772 -0.33601 0.00219
2457263.38924 -0.33889 0.00222
2457263.39075 -0.33653 0.00222
2457263.39251 -0.33622 0.00226
2457263.39403 -0.34301 0.00224
2457263.39555 -0.33866 0.00224
2457263.39700 -0.34082 0.00226
2457263.39845 -0.34260 0.00220
2457263.39990 -0.33892 0.00226
2457263.40135 -0.33767 0.00226
2457263.40279 -0.34144 0.00226
2457263.40424 -0.34149 0.00231
2457263.40906 -0.34594 0.00227
2457263.41058 -0.35013 0.00225
2457263.41234 -0.35427 0.00224
2457263.41386 -0.35792 0.00223
2457263.41539 -0.36242 0.00230
2457263.41683 -0.36548 0.00226
2457263.41828 -0.36819 0.00221
2457263.41972 -0.37091 0.00223
2457263.42117 -0.37099 0.00219
2457263.42262 -0.37210 0.00227
2457263.42406 -0.37373 0.00218
2457263.42551 -0.37128 0.00226
2457263.42696 -0.37165 0.00226
2457263.42844 -0.36749 0.00228
2457263.42992 -0.36939 0.00228
2457263.43141 -0.36828 0.00231
2457263.43288 -0.36861 0.00227
2457263.43433 -0.36818 0.00234
2457263.43577 -0.36957 0.00231
2457263.43866 -0.36631 0.00232
2457263.44011 -0.36689 0.00230
2457263.44156 -0.36990 0.00238
