JD V-C s1 
Aperture: 6, Filter: Luminance, JD: geocentric
2458334.52093 -0.5999 0.0066 
2458334.52230 -0.5911 0.0065 
2458334.52368 -0.5902 0.0064 
2458334.52438 -0.5902 0.0064 
2458334.52506 -0.5957 0.0065 
2458334.52575 99.9999 9.9999 
2458334.52643 -0.6079 0.0072 
2458334.52713 -0.5895 0.0068 
2458334.52781 -0.5936 0.0065 
2458334.52851 -0.5935 0.0066 
2458334.52919 -0.5968 0.0064 
2458334.52988 -0.5896 0.0065 
2458334.53057 -0.5871 0.0066 
2458334.53264 -0.5958 0.0079 
2458334.53332 -0.5941 0.0079 
2458334.53402 -0.5759 0.0082 
2458334.53608 -0.5972 0.0079 
2458334.53677 -0.6092 0.0080 
2458334.53745 -0.5974 0.0065 
2458334.53815 -0.6007 0.0064 
2458334.53883 -0.5902 0.0065 
2458334.53952 99.9999 9.9999 
2458334.54021 -0.5943 0.0065 
2458334.54090 -0.5898 0.0066 
2458334.54159 -0.5852 0.0067 
2458334.54228 -0.5925 0.0066 
2458334.54296 99.9999 9.9999 
2458334.54366 -0.6065 0.0066 
2458334.54434 -0.5990 0.0082 
2458334.54504 -0.6104 0.0081 
2458334.54573 -0.6112 0.0079 
2458334.54641 -0.6016 0.0079 
2458334.54711 -0.5898 0.0065 
2458334.54848 -0.5935 0.0067 
2458334.54917 -0.5965 0.0069 
2458334.54986 -0.5974 0.0069 
2458334.55054 -0.6034 0.0070 
