FOTOMETRÍA RELATIVA

HAT 23 B 
FECHA J HELIO         MAG      +/-    RSR  AIRMS  TRANS  FWHM"   FONDO
2458077.37533      -0.007    0.010    113  2.375   0.92   7.15   -0.42
2458077.37663      -0.009    0.010    113  2.407   0.92   6.98   -0.43
2458077.37790      -0.001    0.010    112  2.440   0.92   6.55   -0.45
2458077.37917      -0.007    0.010    112  2.474   0.91   6.76   -0.46
2458077.38043       0.004    0.010    112  2.508   0.92   6.16   -0.46
2458077.38166      -0.006    0.010    111  2.543   0.90   6.62   -0.51
2458077.38293      -0.013    0.010    111  2.580   0.88   6.87   -0.53
2458077.38424      -0.003    0.010    111  2.619   0.89   6.70   -0.54
2458077.38554      -0.003    0.010    110  2.660   0.88   6.29   -0.55
2458077.38680      -0.010    0.010    110  2.700   0.87   6.64   -0.57
2458077.38808      -0.008    0.010    105  2.742   0.79   7.31   -0.68
2458077.38935      -0.013    0.010    110  2.786   0.87   7.12   -0.58

Observador: Mario Morales-Observatorio de Sencelles MPC K14
FotoDif 3.95
