JD V-C s1 
Aperture: 6, Filter: Red, JD: geocentric
2457608.40483 99.9999 9.9999 
2457608.40539 0.2727 0.0088 
2457608.40595 0.3037 0.0089 
2457608.40652 0.2515 0.0088 
2457608.40707 0.2775 0.0089 
2457608.40763 0.2788 0.0087 
2457608.40818 0.2922 0.0088 
2457608.40875 0.2698 0.0088 
2457608.40931 0.2795 0.0089 
2457608.40986 0.2820 0.0090 
2457608.41043 0.2923 0.0091 
2457608.41098 0.2795 0.0088 
2457608.41154 0.2748 0.0089 
2457608.41210 0.2860 0.0089 
2457608.41266 0.2714 0.0089 
2457608.41322 0.2913 0.0087 
2457608.41378 0.2736 0.0089 
2457608.41434 99.9999 9.9999 
2457608.41490 0.2920 0.0089 
2457608.41545 0.2801 0.0088 
2457608.41602 0.2734 0.0090 
2457608.41657 0.2837 0.0088 
2457608.41713 0.2807 0.0088 
2457608.41769 0.2679 0.0089 
2457608.41825 0.2792 0.0090 
2457608.41881 0.2932 0.0091 
2457608.41936 0.2796 0.0088 
2457608.41992 0.2825 0.0089 
2457608.42049 0.2794 0.0090 
2457608.42104 0.2935 0.0090 
2457608.42160 0.3079 0.0092 
2457608.42215 0.2936 0.0089 
2457608.42272 0.2764 0.0093 
2457608.42328 0.2928 0.0096 
2457608.42384 0.3004 0.0097 
2457608.42440 0.2899 0.0091 
2457608.42495 0.2644 0.0093 
2457608.42552 0.2660 0.0089 
2457608.42608 0.2667 0.0090 
2457608.42663 0.2782 0.0090 
2457608.42720 0.2881 0.0090 
2457608.42776 0.2737 0.0090 
2457608.42831 0.2688 0.0087 
2457608.42888 0.2844 0.0089 
2457608.42943 0.2783 0.0090 
2457608.42999 0.2872 0.0089 
2457608.43054 0.2744 0.0088 
2457608.43111 0.2645 0.0090 
2457608.43167 0.2907 0.0091 
2457608.43223 0.2952 0.0093 
2457608.43279 0.2897 0.0095 
2457608.43334 0.2895 0.0095 
2457608.43390 0.2812 0.0093 
2457608.43446 99.9999 9.9999 
