JD V-C s1 
Aperture: 3, Filter: Luminance, JD: geocentric
2458300.37588 -0.1235 0.0091 
2458300.37640 -0.1336 0.0084 
2458300.37691 -0.1349 0.0079 
2458300.37742 -0.1432 0.0076 
2458300.37793 -0.1438 0.0072 
2458300.37844 -0.1524 0.0069 
2458300.37895 -0.1456 0.0069 
2458300.37947 -0.1573 0.0064 
2458300.37998 -0.1517 0.0063 
2458300.38049 -0.1531 0.0064 
2458300.38099 -0.1449 0.0062 
2458300.38150 -0.1521 0.0062 
2458300.38201 -0.1468 0.0061 
2458300.38253 -0.1443 0.0061 
2458300.38304 -0.1444 0.0062 
2458300.38355 -0.1466 0.0062 
2458300.38406 -0.1520 0.0060 
2458300.38457 -0.1472 0.0060 
2458300.38508 -0.1526 0.0060 
2458300.38560 -0.1531 0.0059 
2458300.38611 -0.1480 0.0059 
2458300.38662 -0.1300 0.0059 
2458300.38713 -0.1549 0.0058 
2458300.38765 -0.1459 0.0057 
2458300.38816 -0.1359 0.0059 
2458300.38867 -0.1437 0.0057 
2458300.38918 -0.1598 0.0057 
2458300.38969 -0.1516 0.0058 
2458300.39020 -0.1475 0.0059 
2458300.39072 -0.1556 0.0057 
2458300.39123 -0.1511 0.0057 
2458300.39174 -0.1516 0.0057 
2458300.39225 -0.1552 0.0057 
2458300.39275 -0.1439 0.0057 
2458300.39326 -0.1595 0.0056 
2458300.39378 -0.1545 0.0056 
2458300.39429 -0.1591 0.0055 
2458300.39480 -0.1416 0.0055 
2458300.39531 -0.1533 0.0054 
2458300.39582 -0.1455 0.0057 
2458300.39634 -0.1433 0.0055 
2458300.39685 -0.1564 0.0055 
2458300.39736 -0.1488 0.0057 
2458300.39787 -0.1587 0.0055 
2458300.39838 -0.1487 0.0055 
2458300.39889 -0.1476 0.0054 
2458300.39941 -0.1370 0.0057 
2458300.39992 -0.1455 0.0057 
2458300.40043 -0.1488 0.0057 
2458300.40094 -0.1478 0.0058 
2458300.40145 -0.1448 0.0057 
2458300.40196 -0.1516 0.0056 
2458300.40248 -0.1539 0.0056 
2458300.40299 -0.1546 0.0056 
2458300.40350 -0.1591 0.0056 
2458300.40400 -0.1501 0.0056 
2458300.40451 -0.1643 0.0055 
2458300.40502 -0.1567 0.0056 
2458300.40554 -0.1422 0.0056 
2458300.40605 -0.1502 0.0057 
2458300.40656 -0.1558 0.0057 
2458300.40707 -0.1558 0.0056 
2458300.40758 -0.1457 0.0056 
2458300.40809 -0.1592 0.0054 
2458300.40861 -0.1614 0.0055 
2458300.40912 -0.1502 0.0056 
2458300.40964 -0.1567 0.0054 
2458300.41066 -0.1541 0.0056 
2458300.41117 -0.1628 0.0056 
2458300.41168 -0.1526 0.0057 
2458300.41220 -0.1444 0.0057 
2458300.41271 -0.1506 0.0055 
2458300.41322 -0.1474 0.0056 
2458300.41373 -0.1528 0.0055 
2458300.41424 -0.1574 0.0057 
2458300.41475 -0.1482 0.0057 
2458300.41527 -0.1350 0.0057 
2458300.41578 -0.1436 0.0055 
2458300.41628 -0.1559 0.0055 
2458300.41679 -0.1521 0.0055 
2458300.41730 -0.1436 0.0055 
2458300.41781 -0.1322 0.0057 
2458300.41833 -0.1491 0.0056 
2458300.41884 -0.1385 0.0057 
2458300.41935 -0.1295 0.0058 
2458300.41986 -0.1404 0.0058 
2458300.42037 -0.1390 0.0058 
2458300.42088 -0.1422 0.0057 
2458300.42139 99.9999 9.9999 
2458300.42191 -0.1444 0.0057 
2458300.42242 -0.1363 0.0058 
2458300.42293 -0.1315 0.0057 
2458300.42344 -0.1310 0.0057 
2458300.42395 -0.1227 0.0057 
2458300.42446 -0.1343 0.0059 
2458300.42498 -0.1446 0.0058 
2458300.42549 -0.1324 0.0059 
2458300.42600 -0.1263 0.0059 
2458300.42650 -0.1301 0.0058 
